# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.015015015    0.081199732    0.089942385    0.092109430
    0.030030030    0.162736737    0.180347929    0.184713251
    0.045045045    0.244954549    0.271690754    0.278317983
    0.060060060    0.328209555    0.364467571    0.373455149
    0.075075075    0.412878270    0.459210712    0.470695731
    0.090090090    0.499365724    0.556503462    0.570667225
    0.105105105    0.588115530    0.656998863    0.674074606
    0.120120120    0.679622371    0.761443596    0.781727034
    0.135135135    0.774447978    0.870709254    0.894572908
    0.150150150    0.873242130    0.985834352    1.013747080
    0.165165165    0.976770978    1.108082188    1.140636016
    0.180180180    1.085956201    1.239022369    1.276969791
    0.195195195    1.201930466    1.380648310    1.424954930
    0.210210210    1.326117883    1.535550421    1.587470482
    0.225225225    1.460353515    1.707176952    1.768363764
    0.240240240    1.607064815    1.900234785    1.972905282
    0.255255255    1.769551807    2.121314681    2.208499108
    0.270270270    1.952422394    2.379870435    2.485796236
    0.285285285    2.162254392    2.689716259    2.820398352
    0.300300300    2.408509795    3.071097863    3.235215950
    0.315315315    2.704374642    3.552569311    3.762608352
    0.330330330    3.065689638    4.168385712    4.441424134
    0.345345345    3.501635523    4.936613593    5.292083084
    0.360360360    3.986451476    5.792914426    6.241058104
    0.375375375    4.433982127    6.530811568    7.052239285
    0.390390390    4.777623692    6.987774356    7.538401884
    0.405405405    5.095481295    7.336704133    7.895005902
    0.420420420    5.529867320    7.897122100    8.485942506
    0.435435435    6.158676901    8.833379753    9.497894888
    0.450450450    6.961823440   10.073881638   10.847344670
    0.465465465    7.817030507   11.297524914   12.164202593
    0.480480480    8.592858067   12.145099984   13.031647917
    0.495495495    9.301635328   12.568204022   13.384650792
    0.510510511   10.127625133   12.887574808   13.577425137
    0.525525526   11.268836403   13.433004213   13.973569638
    0.540540541   12.786520508   14.268412868   14.638131516
    0.555555556   14.605084283   15.400212288   15.597237761
    0.570570571   16.469398986   16.786265792   16.862217140
    0.585585586   18.135094528   18.180763156   18.188265807
    0.600600601   19.610280682   19.344330894   19.274195102
    0.615615616   20.833826513   20.313464318   20.179194770
    0.630630631   21.686802036   21.397950084   21.319921780
    0.645645646   22.427342292   22.946058192   23.068400275
    0.660660661   23.398014712   25.054196295   25.460001497
    0.675675676   24.689520102   27.588078037   28.304115017
    0.690690691   26.366449933   30.367977409   31.360538742
    0.705705706   28.436632379   33.121972781   34.287372470
    0.720720721   30.913896866   35.777177029   36.988543720
    0.735735736   33.856900167   38.576877877   39.751934424
    0.750750751   37.133305496   41.643024103   42.764043223
    0.765765766   40.597634235   44.781142834   45.821000595
    0.780780781   44.285798461   47.743453563   48.604477408
    0.795795796   48.088070204   50.337761899   50.899940736
    0.810810811   51.626284341   52.382246065   52.573432215
    0.825825826   54.918477951   53.987716600   53.759375677
    0.840840841   58.325221345   55.437769145   54.722099987
    0.855855856   61.974370995   56.994652102   55.756261107
    0.870870871   65.805761468   58.857551332   57.125553215
    0.885885886   69.507729574   60.902808208   58.753037373
    0.900900901   72.118614685   62.524796574   60.121855830
    0.915915916   72.974366165   63.352903003   60.937519042
    0.930930931   72.598655254   63.786029259   61.569775498
    0.945945946   71.584073352   64.177671125   62.311228207
    0.960960961   70.172703469   64.599297838   63.189684083
    0.975975976   68.700267746   65.198484350   64.306026391
    0.990990991   67.674405632   66.155014225   65.758626750
    1.006006006   67.473759478   67.514649043   67.509363084
    1.021021021   68.206704518   69.376829021   69.654108588
    1.036036036   69.832257866   71.999937315   72.525803944
    1.051051051   72.328827808   75.556208557   76.345838367
    1.066066066   75.441307176   79.808122444   80.881719021
    1.081081081   78.794548504   84.271649155   85.623997878
    1.096096096   82.184444299   88.375456672   89.910666097
    1.111111111   85.579935598   91.741813063   93.274301850
    1.126126126   89.241923807   94.707317836   96.066781326
    1.141141141   93.560931247   98.023669565   99.130568175
    1.156156156   98.307293518  101.733941619  102.579758637
    1.171171171  102.989093760  105.408596154  106.000755818
    1.186186186  107.906648213  109.357064813  109.704086778
    1.201201201  113.482168616  114.107211162  114.245021900
    1.216216216  119.668996090  119.636385416  119.607328439
    1.231231231  126.648699657  126.129673220  125.974979343
    1.246246246  134.843866878  134.054640357  133.827774680
    1.261261261  143.780490788  142.877723496  142.620599728
    1.276276276  152.331789058  151.343868372  151.066397793
    1.291291291  159.502762535  158.402128343  158.100511473
    1.306306306  163.993423247  162.802082499  162.485390257
    1.321321321  164.781269713  163.698993902  163.418233032
    1.336336336  161.981811936  161.297351878  161.124680849
    1.351351351  156.358165174  156.168454419  156.128102030
    1.366366366  148.825126952  148.859993266  148.883473547
    1.381381381  140.292289086  140.123903864  140.100844735
    1.396396396  131.660281806  131.122905476  131.007236913
    1.411411411  123.603145643  122.813620227  122.632677181
    1.426426426  116.125451331  115.228295003  115.019112489
    1.441441441  108.970873909  108.031464642  107.811053386
    1.456456456  102.244957157  101.285761803  101.059342527
    1.471471471   96.245202418   95.311943941   95.090523323
    1.486486486   90.937760555   90.066815188   89.860307609
    1.501501502   85.888836402   85.075502492   84.883727357
    1.516516517   80.793371720   80.071187838   79.901986814
    1.531531532   75.898274337   75.378920324   75.258771029
    1.546546547   71.598946555   71.356297646   71.303617132
    1.561561562   67.899640295   67.863901787   67.862252393
    1.576576577   64.609602970   64.641728008   64.656552119
    1.591591592   61.740772116   61.733033241   61.737170661
    1.606606607   59.294345588   59.187350098   59.166139498
    1.621621622   57.159832814   56.943256871   56.894185874
    1.636636637   55.222306913   54.928812945   54.860107457
    1.651651652   53.374181855   53.084595277   53.016219046
    1.666666667   51.638367616   51.493633056   51.460170499
    1.681681682   50.138418198   50.279711595   50.316263656
    1.696696697   48.929510863   49.390971010   49.506758036
    1.711711712   47.906881088   48.589023092   48.760134671
    1.726726727   46.910337616   47.660808187   47.849635381
    1.741741742   45.882813427   46.608591134   46.791805113
    1.756756757   44.836431424   45.542235145   45.721002623
    1.771771772   43.725078559   44.465945946   44.654085402
    1.786786787   42.594625491   43.425178429   43.635922333
    1.801801802   41.708840538   42.635106826   42.869582321
    1.816816817   41.216626092   42.162609415   42.401975522
    1.831831832   41.021669025   41.878117069   42.095044042
    1.846846847   40.981146244   41.671830468   41.847095190
    1.861861862   40.960210089   41.448696643   41.573259922
    1.876876877   40.839523907   41.144202531   41.222689653
    1.891891892   40.615752330   40.760373607   40.798937967
    1.906906907   40.338045973   40.250754219   40.231815572
    1.921921922   39.947614583   39.522139788   39.419070234
    1.936936937   39.202491186   38.483966112   38.307580858
    1.951951952   37.890326836   37.096800126   36.901342053
    1.966966967   36.135112251   35.459187732   35.293048246
    1.981981982   34.241374386   33.743990925   33.622624248
    1.996996997   32.497262052   32.168474410   32.089233419
    2.012012012   31.131713477   30.926545118   30.878011723
    2.027027027   30.208486276   30.061075018   30.026729796
    2.042042042   29.656484586   29.511494236   29.477507200
    2.057057057   29.373250105   29.177855773   29.131050233
    2.072072072   29.172156128   28.875611366   28.803326998
    2.087087087   28.835717319   28.432448882   28.333259787
    2.102102102   28.279033099   27.847208232   27.740614088
    2.117117117   27.544498907   27.192231952   27.105410141
    2.132132132   26.691137565   26.477924498   26.425946838
    2.147147147   25.764225466   25.684014578   25.665488370
    2.162162162   24.765032075   24.751737708   24.750205057
    2.177177177   23.698046575   23.669894355   23.664793957
    2.192192192   22.623614011   22.550256306   22.533782926
    2.207207207   21.636597861   21.541902576   21.519921049
    2.222222222   20.809969716   20.710158895   20.686780788
    2.237237237   20.122744807   20.004161387   19.976037963
    2.252252252   19.496876130   19.354909644   19.320817050
    2.267267267   18.932392384   18.781411621   18.744804606
    2.282282282   18.498601810   18.343723449   18.305883039
    2.297297297   18.174836957   18.014514272   17.975207585
    2.312312312   17.843855426   17.693460408   17.656652488
    2.327327327   17.476980676   17.368356373   17.341956293
    2.342342342   17.136369859   17.097007361   17.087879231
    2.357357357   16.810027270   16.837484379   16.845164155
    2.372372372   16.451061162   16.513002160   16.529446740
    2.387387387   16.086785455   16.167014022   16.188009461
    2.402402402   15.722185433   15.867276365   15.904372191
    2.417417417   15.280166046   15.572096745   15.645868552
    2.432432432   14.747234301   15.232139118   15.354176666
    2.447447447   14.214526673   14.867750153   15.031916700
    2.462462462   13.740108364   14.491671372   14.680495233
    2.477477477   13.314875772   14.094585835   14.290498739
    2.492492492   12.924998351   13.676273835   13.865116196
