# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000   64.621784302   65.698146702   65.962987229
    0.015015015   64.633782943   65.711384992   65.976532775
    0.030030030   64.669825836   65.751162943   66.017236492
    0.045045045   64.730054632   65.817671036   66.085300975
    0.060060060   64.814707921   65.911230920   66.181068488
    0.075075075   64.924125074   66.032301880   66.305028070
    0.090090090   65.058751841   66.181490260   66.457825913
    0.105105105   65.219147878   66.359562254   66.640279461
    0.120120120   65.405996514   66.567460589   66.853395804
    0.135135135   65.620117090   66.806325764   67.098395127
    0.150150150   65.862480282   67.077522606   67.376740052
    0.165165165   66.134226853   67.382672890   67.690171703
    0.180180180   66.436690138   67.723694462   68.040752960
    0.195195195   66.771422178   68.102846236   68.430918152
    0.210210210   67.140222236   68.522775629   68.863525217
    0.225225225   67.545163512   68.986558021   69.341898419
    0.240240240   67.988606759   69.497701139   69.869830625
    0.255255255   68.473172480   70.060047219   70.451468558
    0.270270270   69.001602345   70.677409929   71.090895108
    0.285285285   69.576342195   71.352553265   71.790960915
    0.300300300   70.198449833   72.084584535   72.550307506
    0.315315315   70.864954272   72.862721055   73.356255415
    0.330330330   71.563191078   73.652984409   74.169622105
    0.345345345   72.262207375   74.378035520   74.901673239
    0.360360360   72.915131164   74.922566474   75.420047483
    0.375375375   73.513653439   75.260280650   75.693291957
    0.390390390   74.162578279   75.627743012   75.990025513
    0.405405405   74.985756448   76.304732626   76.629534631
    0.420420420   75.978578050   77.269765745   77.587204087
    0.435435435   77.039430085   78.273437480   78.577193755
    0.450450450   78.044229231   79.012760796   79.251729167
    0.465465465   78.928741599   79.324654665   79.421980549
    0.480480480   79.777813685   79.397923484   79.301440361
    0.495495495   80.770599251   79.654936433   79.373254546
    0.510510511   82.003393857   80.360929346   79.946107065
    0.525525526   83.373290358   81.399961516   80.901582112
    0.540540541   84.672935252   82.562675392   82.029144543
    0.555555556   85.684736688   83.731805527   83.236603805
    0.570570571   86.280735416   84.723227831   84.326862447
    0.585585586   86.612003685   85.439971893   85.140806446
    0.600600601   86.842670017   86.071053179   85.872071282
    0.615615616   86.994050536   86.949046387   86.930860346
    0.630630631   87.320269849   88.249797136   88.475053444
    0.645645646   88.126958282   89.833493655   90.253956435
    0.660660661   89.331344970   91.356746529   91.858383631
    0.675675676   90.767144632   92.586135615   93.038009888
    0.690690691   92.332972444   93.391360558   93.655090558
    0.705705706   93.903402741   93.797823325   93.771473804
    0.720720721   95.428491354   94.075992784   93.737116672
    0.735735736   96.752969349   94.313605824   93.701857426
    0.750750751   97.696479925   94.264244981   93.405207415
    0.765765766   98.283190305   93.711699619   92.570446677
    0.780780781   98.502244081   92.672980748   91.218988572
    0.795795796   98.143719331   91.238637225   89.515404243
    0.810810811   97.287972014   89.662527312   87.757743941
    0.825825826   96.345829649   88.294080726   86.280734215
    0.840840841   95.340656076   87.247825706   85.220983631
    0.855855856   93.987028059   86.467634636   84.579783183
    0.870870871   91.982976233   85.691299697   84.105852124
    0.885885886   88.895113309   84.489165227   83.370927802
    0.900900901   84.653255752   82.745268152   82.249526311
    0.915915916   80.300110202   81.080743473   81.258771433
    0.930930931   76.775411905   79.983014625   80.770724687
    0.945945946   74.192082834   79.375320014   80.659428497
    0.960960961   72.596394104   79.202245338   80.844388972
    0.975975976   72.150276436   79.503118449   81.334766921
    0.990990991   72.802996196   80.178861161   82.018741995
    1.006006006   74.213162386   81.124159187   82.849035838
    1.021021021   75.967087331   82.337390823   83.927292217
    1.036036036   77.780926401   83.702382133   85.180539773
    1.051051051   79.366562711   84.790508553   86.145666640
    1.066066066   80.406838316   85.110557811   86.288356356
    1.081081081   80.895439815   84.447662904   85.341549240
    1.096096096   81.017874943   82.907964991   83.388624976
    1.111111111   81.032355963   81.082287306   81.100989990
    1.126126126   81.148804865   79.668061487   79.299894895
    1.141141141   81.112111818   78.610728284   77.984659173
    1.156156156   80.413333001   77.310361913   76.533034296
    1.171171171   79.290091164   75.865259064   75.006727213
    1.186186186   78.175509832   74.701561564   73.830483935
    1.201201201   76.804670837   73.523408350   72.701645797
    1.216216216   74.895210916   71.944680620   71.206743059
    1.231231231   72.412203466   69.901578850   69.275224927
    1.246246246   68.701765220   66.659486063   66.155173485
    1.261261261   62.635004398   60.970094885   60.567777861
    1.276276276   53.808717967   52.424365364   52.100304243
    1.291291291   42.220509318   41.108942705   40.861423665
    1.306306306   28.232701571   27.490890888   27.342008138
    1.321321321   13.219422800   12.938533205   12.907633336
    1.336336336   -1.186864591   -1.148570049   -1.099288683
    1.351351351  -13.921587991  -13.944679745  -13.912811203
    1.366366366  -24.418811151  -24.847988203  -24.922887750
    1.381381381  -32.486037811  -33.285609878  -33.461117953
    1.396396396  -38.252140079  -39.104762351  -39.300903053
    1.411411411  -42.329202646  -43.010620005  -43.168036359
    1.426426426  -45.410303382  -45.884347771  -45.992049920
    1.441441441  -47.649170108  -47.943484883  -48.008297629
    1.456456456  -48.959546449  -49.078658070  -49.101764813
    1.471471471  -49.570174700  -49.508170413  -49.487174218
    1.486486486  -49.964510250  -49.753418084  -49.695457556
    1.501501502  -50.350922869  -50.001335737  -49.909643779
    1.516516517  -50.417444261  -49.892884290  -49.759499338
    1.531531532  -49.821529173  -49.137449614  -48.965851997
    1.546546547  -48.715879373  -48.011657052  -47.835245102
    1.561561562  -47.464479204  -46.891986604  -46.748380418
    1.576576577  -46.146385115  -45.749485451  -45.650145285
    1.591591592  -44.741553098  -44.477587259  -44.411749458
    1.606606607  -43.380812624  -43.170872362  -43.118671516
    1.621621622  -42.145368438  -41.897644534  -41.836205592
    1.636636637  -41.052599297  -40.680952123  -40.588835590
    1.651651652  -40.031037035  -39.460970042  -39.319828742
    1.666666667  -38.959992382  -38.173182567  -37.978210275
    1.681681682  -37.834420266  -36.928097706  -36.702685028
    1.696696697  -36.790430652  -35.945286916  -35.733842247
    1.711711712  -35.957028533  -35.318988303  -35.158027150
    1.726726727  -35.317628553  -34.912667610  -34.809285866
    1.741741742  -34.764476466  -34.515910836  -34.451380835
    1.756756757  -34.250249747  -34.074186632  -34.027668606
    1.771771772  -33.721696499  -33.589918865  -33.554715559
    1.786786787  -33.004751693  -32.952339268  -32.937550804
    1.801801802  -32.064505188  -32.177699710  -32.204601115
    1.816816817  -31.142397459  -31.496633875  -31.583881305
    1.831831832  -30.447946356  -31.043082369  -31.190776575
    1.846846847  -30.054334993  -30.835546788  -31.029860780
    1.861861862  -29.974206716  -30.866882692  -31.089016139
    1.876876877  -30.137711962  -31.077023946  -31.310687040
    1.891891892  -30.443520152  -31.436689062  -31.683512623
    1.906906907  -30.905252493  -31.968069258  -32.232215698
    1.921921922  -31.624330440  -32.639784855  -32.892500653
    1.936936937  -32.611735104  -33.362120584  -33.549124541
    1.951951952  -33.576883851  -33.957469971  -34.052234712
    1.966966967  -34.147686544  -34.244924353  -34.268792691
    1.981981982  -34.174725317  -34.128442222  -34.116569921
    1.996996997  -33.686877195  -33.602829608  -33.581849548
    2.012012012  -32.858836035  -32.813321461  -32.802244329
    2.027027027  -31.950129061  -31.976776574  -31.983904382
    2.042042042  -31.152619502  -31.252217670  -31.277657897
    2.057057057  -30.605419238  -30.764174698  -30.804428208
    2.072072072  -30.405396688  -30.574013261  -30.616737319
    2.087087087  -30.489134331  -30.576180969  -30.598512049
    2.102102102  -30.681626297  -30.612898507  -30.596154610
    2.117117117  -30.858209910  -30.647921389  -30.595505854
    2.132132132  -30.969121948  -30.696803646  -30.628636698
    2.147147147  -31.006831713  -30.764662965  -30.703897644
    2.162162162  -30.970195728  -30.819321499  -30.781433695
    2.177177177  -30.811113359  -30.741383503  -30.724033568
    2.192192192  -30.480555366  -30.433838900  -30.422511865
    2.207207207  -29.982189191  -29.924061946  -29.910010507
    2.222222222  -29.394423515  -29.333242602  -29.318457156
