# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   64.476645774   65.550213955   65.814361825
    0.015015015   64.409092581   65.475466393   65.737831018
    0.030030030   64.292715570   65.346849348   65.606180126
    0.045045045   64.152904296   65.192597766   65.448349426
    0.060060060   63.990505141   65.013778006   65.265459851
    0.075075075   63.806135618   64.811210896   65.058382685
    0.090090090   63.600473050   64.585786505   64.828060797
    0.105105105   63.374246435   64.338450578   64.575493724
    0.120120120   63.128227349   64.070190414   64.301722314
    0.135135135   62.863221218   63.782021807   64.007814578
    0.150150150   62.580059116   63.474977272   63.694853038
    0.165165165   62.279590210   63.150095705   63.363923691
    0.180180180   61.962674891   62.808413498   63.016106622
    0.195195195   61.630178640   62.450957081   62.652468217
    0.210210210   61.282966597   62.078736790   62.274054858
    0.225225225   60.921898827   61.692741950   61.881887954
    0.240240240   60.547826225   61.293937014   61.476960147
    0.255255255   60.161587020   60.883258637   61.060232513
    0.270270270   59.764003826   60.461613523   60.632632620
    0.285285285   59.355881172   60.029876929   60.195053265
    0.300300300   58.938003485   59.588891708   59.748351785
    0.315315315   58.511133443   59.139467785   59.293349807
    0.330330330   58.076010690   58.682381987   58.830833361
    0.345345345   57.633350836   58.218378149   58.361553255
    0.360360360   57.183844736   57.748167439   57.886225663
    0.375375375   56.728157986   57.272428848   57.405532864
    0.390390390   56.266930630   56.791809818   56.920124097
    0.405405405   55.800777035   56.306926960   56.430616486
    0.420420420   55.330285915   55.818366844   55.937596026
    0.435435435   54.856020489   55.326686846   55.441618598
    0.450450450   54.378518741   54.832416026   54.943211001
    0.465465465   53.898293778   54.336056030   54.442871994
    0.480480480   53.415834264   53.838082008   53.941073323
    0.495495495   52.931604923   53.338943530   53.438260755
    0.510510511   52.446047085   52.839065508   52.934855082
    0.525525526   51.959579291   52.338849109   52.431253116
    0.540540541   51.472597915   51.838672657   51.927828660
    0.555555556   50.985477828   51.338892525   51.424933452
    0.570570571   50.498573071   50.839844005   50.922898096
    0.585585586   50.012217546   50.341842171   50.422032952
    0.600600601   49.526725714   49.845182714   49.922629017
    0.615615616   49.042393300   49.350142758   49.424958766
    0.630630631   48.559497989   48.856981664   48.929276976
    0.645645646   48.078300133   48.365941798   48.435821522
    0.660660661   47.599043432   47.877249289   47.944814142
    0.675675676   47.121955628   47.391114761   47.456461183
    0.690690691   46.647249167   46.907734040   46.970954321
    0.705705706   46.175121864   46.427288837   46.488471248
    0.720720721   45.705757546   45.949947418   46.009176345
    0.735735736   45.239326679   45.475865240   45.533221324
