# energy grid [eV]     JDOS [1/eV]
#
    0.000000000    0.000023008
    0.010010010    0.000023133
    0.020020020    0.000023259
    0.030030030    0.000023389
    0.040040040    0.000023521
    0.050050050    0.000023656
    0.060060060    0.000023793
    0.070070070    0.000023934
    0.080080080    0.000024079
    0.090090090    0.000024226
    0.100100100    0.000024378
    0.110110110    0.000024532
    0.120120120    0.000024691
    0.130130130    0.000024854
    0.140140140    0.000025021
    0.150150150    0.000025193
    0.160160160    0.000025369
    0.170170170    0.000025550
    0.180180180    0.000025737
    0.190190190    0.000025929
    0.200200200    0.000026128
    0.210210210    0.000026332
    0.220220220    0.000026543
    0.230230230    0.000026762
    0.240240240    0.000026988
    0.250250250    0.000027222
    0.260260260    0.000027465
    0.270270270    0.000027718
    0.280280280    0.000027980
    0.290290290    0.000028254
    0.300300300    0.000028538
    0.310310310    0.000028836
    0.320320320    0.000029146
    0.330330330    0.000029469
    0.340340340    0.000029807
    0.350350350    0.000030159
    0.360360360    0.000030527
    0.370370370    0.000030910
    0.380380380    0.000031309
    0.390390390    0.000031726
    0.400400400    0.000032163
    0.410410410    0.000032620
    0.420420420    0.000033101
    0.430430430    0.000033605
    0.440440440    0.000034135
    0.450450450    0.000034689
    0.460460460    0.000035269
    0.470470470    0.000035873
    0.480480480    0.000036504
    0.490490490    0.000037162
    0.500500501    0.000037849
    0.510510511    0.000038570
    0.520520521    0.000039326
    0.530530531    0.000040120
    0.540540541    0.000040953
    0.550550551    0.000041825
    0.560560561    0.000042734
    0.570570571    0.000043679
    0.580580581    0.000044658
    0.590590591    0.000045673
    0.600600601    0.000046726
    0.610610611    0.000047821
    0.620620621    0.000048966
    0.630630631    0.000050167
    0.640640641    0.000051432
    0.650650651    0.000052769
    0.660660661    0.000054182
    0.670670671    0.000055676
    0.680680681    0.000057254
    0.690690691    0.000058915
    0.700700701    0.000060659
    0.710710711    0.000062484
    0.720720721    0.000064389
    0.730730731    0.000066369
    0.740740741    0.000068420
    0.750750751    0.000070537
    0.760760761    0.000072712
    0.770770771    0.000074939
    0.780780781    0.000077213
    0.790790791    0.000079528
    0.800800801    0.000081879
    0.810810811    0.000084264
    0.820820821    0.000086684
    0.830830831    0.000089140
    0.840840841    0.000091635
    0.850850851    0.000094172
    0.860860861    0.000096748
    0.870870871    0.000099359
    0.880880881    0.000101996
    0.890890891    0.000104648
    0.900900901    0.000107304
    0.910910911    0.000109957
    0.920920921    0.000112608
    0.930930931    0.000115262
    0.940940941    0.000117934
    0.950950951    0.000120641
    0.960960961    0.000123405
    0.970970971    0.000126245
    0.980980981    0.000129180
    0.990990991    0.000132225
    1.001001001    0.000135389
    1.011011011    0.000138678
    1.021021021    0.000142097
    1.031031031    0.000145650
    1.041041041    0.000149337
    1.051051051    0.000153153
    1.061061061    0.000157090
    1.071071071    0.000161131
    1.081081081    0.000165258
    1.091091091    0.000169452
    1.101101101    0.000173699
    1.111111111    0.000177994
    1.121121121    0.000182337
    1.131131131    0.000186735
    1.141141141    0.000191197
    1.151151151    0.000195732
    1.161161161    0.000200352
    1.171171171    0.000205069
    1.181181181    0.000209896
    1.191191191    0.000214848
    1.201201201    0.000219935
    1.211211211    0.000225163
    1.221221221    0.000230527
    1.231231231    0.000236007
    1.241241241    0.000241561
    1.251251251    0.000247127
    1.261261261    0.000252615
    1.271271271    0.000257924
    1.281281281    0.000262943
    1.291291291    0.000267564
    1.301301301    0.000271694
    1.311311311    0.000275258
    1.321321321    0.000278207
    1.331331331    0.000280518
    1.341341341    0.000282193
    1.351351351    0.000283261
    1.361361361    0.000283771
    1.371371371    0.000283794
    1.381381381    0.000283418
    1.391391391    0.000282739
    1.401401401    0.000281855
    1.411411411    0.000280853
    1.421421421    0.000279803
    1.431431431    0.000278759
    1.441441441    0.000277756
    1.451451451    0.000276816
    1.461461461    0.000275955
    1.471471471    0.000275176
    1.481481481    0.000274478
    1.491491491    0.000273854
    1.501501502    0.000273301
    1.511511512    0.000272818
    1.521521522    0.000272414
    1.531531532    0.000272108
    1.541541542    0.000271923
    1.551551552    0.000271883
    1.561561562    0.000272007
    1.571571572    0.000272312
    1.581581582    0.000272805
    1.591591592    0.000273487
    1.601601602    0.000274348
    1.611611612    0.000275373
    1.621621622    0.000276542
    1.631631632    0.000277838
    1.641641642    0.000279249
    1.651651652    0.000280769
    1.661661662    0.000282398
    1.671671672    0.000284136
    1.681681682    0.000285976
    1.691691692    0.000287904
    1.701701702    0.000289893
    1.711711712    0.000291912
    1.721721722    0.000293930
    1.731731732    0.000295922
    1.741741742    0.000297875
    1.751751752    0.000299794
    1.761761762    0.000301694
    1.771771772    0.000303606
    1.781781782    0.000305567
    1.791791792    0.000307616
    1.801801802    0.000309787
    1.811811812    0.000312106
    1.821821822    0.000314582
