# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.015015015    0.019434100    0.021490266    0.021978271
    0.030030030    0.038901655    0.043014776    0.043991014
    0.045045045    0.058436314    0.064607948    0.066072870
    0.060060060    0.078072115    0.086304539    0.088258812
    0.075075075    0.097843687    0.108139832    0.110584319
    0.090090090    0.117786456    0.130149812    0.133085556
    0.105105105    0.137936871    0.152371359    0.155799553
    0.120120120    0.158332631    0.174842446    0.178764405
    0.135135135    0.179012940    0.197602359    0.202019472
    0.150150150    0.200018779    0.220691921    0.225605601
    0.165165165    0.221393206    0.244153742    0.249565367
    0.180180180    0.243181682    0.268032489    0.273943325
    0.195195195    0.265432444    0.292375185    0.298786292
    0.210210210    0.288196914    0.317231533    0.324143662
    0.225225225    0.311530166    0.342654286    0.350067743
    0.240240240    0.335491459    0.368699652    0.376614140
    0.255255255    0.360144837    0.395427754    0.403842186
    0.270270270    0.385559836    0.422903154    0.431815418
    0.285285285    0.411812287    0.451195438    0.460602123
    0.300300300    0.438985262    0.480379900    0.490275956
    0.315315315    0.467170180    0.510538316    0.520916646
    0.330330330    0.496468113    0.541759850    0.552610811
    0.345345345    0.526991335    0.574142096    0.585452886
    0.360360360    0.558865176    0.607792312    0.619546221
    0.375375375    0.592230253    0.642828856    0.655004342
    0.390390390    0.627245174    0.679382906    0.691952443
    0.405405405    0.664089845    0.717600496    0.730529151
    0.420420420    0.702969540    0.757644971    0.770888611
    0.435435435    0.744119970    0.799699965    0.813203002
    0.450450450    0.787813630    0.843973032    0.857665556
    0.465465465    0.834367860    0.890700131    0.904494247
    0.480480480    0.884155171    0.940151210    0.953936313
    0.495495495    0.937616648    0.992637241    1.006273866
    0.510510511    0.995279565    1.048519203    1.061830934
    0.525525526    1.057780872    1.108219673    1.120982396
    0.540540541    1.125898999    1.172238056    1.184165484
    0.555555556    1.200597642    1.241170871    1.251894805
    0.570570571    1.283087155    1.315739309    1.324782299
    0.585585586    1.374912286    1.396827364    1.403564231
    0.600600601    1.478080137    1.485535728    1.489138457
    0.615615616    1.595250614    1.583259620    1.582616946
    0.630630631    1.730025203    1.691803542    1.685401434
    0.645645646    1.887390648    1.813553309    1.799294399
    0.660660661    2.074399644    1.951735130    1.926663364
    0.675675676    2.301175362    2.110795285    2.070680069
    0.690690691    2.582183946    2.296893218    2.235638198
    0.705705706    2.936948178    2.518266408    2.427239345
    0.720720721    3.386681921    2.784393956    2.652323970
    0.735735736    3.938581697    3.101414445    2.916790165
    0.750750751    4.560699826    3.464739686    3.222207780
    0.765765766    5.208993843    3.868105395    3.570849851
    0.780780781    5.913101007    4.330999103    3.979972393
    0.795795796    6.723819023    4.881768214    4.472881023
    0.810810811    7.604488274    5.518606051    5.055608386
    0.825825826    8.459284932    6.206319183    5.706626987
    0.840840841    9.238028885    6.909624653    6.394083293
    0.855855856   10.036755941    7.664183167    7.140083457
    0.870870871   10.948345661    8.525802689    7.991869443
    0.885885886   11.842305769    9.427752824    8.896915179
    0.900900901   12.544205331   10.277693907    9.781986330
    0.915915916   13.223792398   11.207338536   10.770880821
    0.930930931   14.171054457   12.444634293   12.077234444
    0.945945946   15.317631149   14.013170212   13.744830913
    0.960960961   16.415663699   15.799863908   15.691511170
    0.975975976   17.449421984   17.768950529   17.877646309
    0.990990991   18.611344561   19.973329077   20.324518745
    1.006006006   20.029953780   22.455639255   23.054496214
    1.021021021   21.557781474   25.045587098   25.890059046
    1.036036036   22.952977391   27.458851546   28.536683258
    1.051051051   24.178294594   29.633012645   30.927518927
    1.066066066   25.248073303   31.552668927   33.041247428
    1.081081081   26.110594377   33.125469914   34.776880405
    1.096096096   26.618246328   34.245178934   36.036821876
    1.111111111   26.717899372   34.932391474   36.856765897
    1.126126126   26.654959705   35.434405971   37.482976043
    1.141141141   26.661728777   35.946869085   38.103014460
    1.156156156   26.788237046   36.513344805   38.761312553
    1.171171171   26.993898060   37.080163265   39.402478310
    1.186186186   27.273229656   37.588959122   39.959134565
    1.201201201   27.757700222   38.206821176   40.609130414
    1.216216216   28.606343673   39.239096865   41.689788116
    1.231231231   29.807673078   40.845120582   43.395880930
    1.246246246   31.104628439   42.847906852   45.563631310
    1.261261261   32.196736349   44.850167625   47.771223320
    1.276276276   33.111131291   46.664172462   49.785001204
    1.291291291   34.130347916   48.404277437   51.686158318
    1.306306306   35.529744073   50.286026672   53.680321621
    1.321321321   37.382366831   52.436299970   55.905556698
    1.336336336   39.505766439   54.863502711   58.410174972
    1.351351351   41.649056310   57.462944877   61.115903126
    1.366366366   43.479777821   59.732788959   63.475217556
    1.381381381   44.593199774   60.970927145   64.724618273
    1.396396396   44.895261084   61.027469154   64.712465946
    1.411411411   44.682801735   60.336696422   63.906590648
    1.426426426   44.235104370   59.241159292   62.661071609
    1.441441441   43.712982790   57.890610251   61.124923545
    1.456456456   43.500710617   56.761350920   59.799273531
    1.471471471   44.037711592   56.483656005   59.354939787
    1.486486486   45.347672318   57.227003054   59.986470448
    1.501501502   47.012977912   58.620218075   61.325846774
    1.516516517   48.567144369   60.177693767   62.882251994
