# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000   32.515422194   35.224270678   35.856077212
    0.015015015   32.518321179   35.227477956   35.859357636
    0.030030030   32.527023046   35.237104833   35.869203988
    0.045045045   32.541542562   35.253166466   35.885631537
    0.060060060   32.561904427   35.275688200   35.908665807
    0.075075075   32.588143420   35.304705689   35.938342703
    0.090090090   32.620304592   35.340265075   35.974708682
    0.105105105   32.658443526   35.382423219   36.017820973
    0.120120120   32.702626662   35.431247980   36.067747857
    0.135135135   32.752931686   35.486818567   36.124569004
    0.150150150   32.809447997   35.549225944   36.188375861
    0.165165165   32.872277250   35.618573305   36.259272123
    0.180180180   32.941533992   35.694976624   36.337374256
    0.195195195   33.017346390   35.778565283   36.422812108
    0.210210210   33.099857071   35.869482791   36.515729598
    0.225225225   33.189224079   35.967887597   36.616285502
    0.240240240   33.285621969   36.073954013   36.724654335
    0.255255255   33.389243059   36.187873253   36.841027348
    0.270270270   33.500298854   36.309854615   36.965613653
    0.285285285   33.619021674   36.440126808   37.098641488
    0.300300300   33.745666512   36.578939457   37.240359641
    0.315315315   33.880513165   36.726564802   37.391039058
    0.330330330   34.023868676   36.883299625   37.550974653
    0.345345345   34.176070145   37.049467432   37.720487358
    0.360360360   34.337487971   37.225420945   37.899926443
    0.375375375   34.508529607   37.411544930   38.089672144
    0.390390390   34.689643918   37.608259442   38.290138658
    0.405405405   34.881326274   37.816023541   38.501777558
    0.420420420   35.084124503   38.035339572   38.725081704
    0.435435435   35.298645910   38.266758108   38.960589722
    0.450450450   35.525565564   38.510883697   39.208891185
    0.465465465   35.765636146   38.768381540   39.470632594
    0.480480480   36.019699704   39.039985325   39.746524335
    0.495495495   36.288701737   39.326506422   40.037348787
    0.510510511   36.573708142   39.628844756   40.343969838
    0.525525526   36.875925659   39.948001674   40.667344071
    0.540540541   37.196726531   40.285095245   41.008533969
    0.555555556   37.537678142   40.641378448   41.368723548
    0.570570571   37.900578224   41.018260703   41.749236843
    0.585585586   38.287495576   41.417333096   42.151559668
    0.600600601   38.700814392   41.840397100   42.577364863
    0.615615616   39.143275614   42.289495244   43.028540592
    0.630630631   39.617997265   42.766938644   43.507219548
    0.645645646   40.128427979   43.275317680   44.015802513
    0.660660661   40.678121293   43.817461079   44.556959056
    0.675675676   41.270060637   44.396258892   45.133562530
    0.690690691   41.904917974   45.014154765   45.748459784
    0.705705706   42.577044461   45.671925990   46.403878589
    0.720720721   43.267092417   46.366389787   47.100278309
    0.735735736   43.936516899   47.088628194   47.835417447
    0.750750751   44.549566383   47.830627914   48.607551819
    0.765765766   45.127598539   48.601663058   49.423269623
    0.780780781   45.711794340   49.415235728   50.289832595
    0.795795796   46.256960136   50.252815124   51.194681032
    0.810810811   46.687431932   51.077509205   52.109651197
    0.825825826   46.999570366   51.870432814   53.012453419
    0.840840841   47.292378912   52.664513261   53.921142892
    0.855855856   47.644141732   53.507865675   54.876920823
    0.870870871   47.949963611   54.356812149   55.849830341
    0.885885886   48.090090149   55.148888205   56.790731373
    0.900900901   48.225282588   55.992959157   57.797191931
    0.915915916   48.597873370   57.050226705   59.011562558
    0.930930931   49.073026603   58.239652895   60.364221342
    0.945945946   49.360072671   59.345645541   61.656757858
    0.960960961   49.471230811   60.287789193   62.788300220
    0.975975976   49.609056670   61.090278320   63.742112413
    0.990990991   49.823067536   61.732782108   64.481115234
    1.006006006   49.918839190   62.062893885   64.861309215
    1.021021021   49.672500086   61.876210196   64.682862209
    1.036036036   49.128434996   61.227929456   64.005521832
    1.051051051   48.426438475   60.287420547   63.006236126
    1.066066066   47.589354721   59.091858081   61.725203917
    1.081081081   46.605844849   57.690680511   60.224824610
    1.096096096   45.537810848   56.226180095   58.664440632
    1.111111111   44.660196084   54.962934195   57.306304270
    1.126126126   44.171901960   54.051371977   56.291247686
    1.141141141   43.989901974   53.404738445   55.534435704
    1.156156156   43.977159795   52.910614959   54.930118567
    1.171171171   44.079178954   52.509346626   54.417665593
    1.186186186   44.348815993   52.306785538   54.115243331
    1.201201201   44.821924389   52.459787825   54.203598080
    1.216216216   45.359892514   52.889285818   54.613052282
    1.231231231   45.699631946   53.259852558   54.989342145
    1.246246246   45.668431840   53.201169425   54.917893363
    1.261261261   45.425381831   52.663260324   54.306322456
    1.276276276   45.302531619   51.913245892   53.411625488
    1.291291291   45.423637136   51.169095643   52.473690988
    1.306306306   45.641605964   50.435108988   51.527390145
    1.321321321   45.625810518   49.538243756   50.430406768
    1.336336336   45.107448436   48.262721852   48.976090973
    1.351351351   43.967884264   46.294110724   46.804231975
    1.366366366   42.165126351   43.353983987   43.591098806
    1.381381381   39.941265632   39.761470203   39.684432378
    1.396396396   37.820252213   36.306827081   35.933688746
    1.411411411   36.159703363   33.472627484   32.842642742
    1.426426426   35.005794767   31.291606436   30.439131880
    1.441441441   34.439282111   29.902026020   28.875963479
    1.456456456   34.532953972   29.494235973   28.365650251
    1.471471471   34.947233384   29.740710505   28.576092594
    1.486486486   35.078937985   29.917694509   28.753337624
    1.501501502   34.536723932   29.477132534   28.318410245
    1.516516517   33.369230583   28.307432148   27.130216739
    1.531531532   31.810945683   26.502787254   25.255340639
    1.546546547   29.975275387   24.165689972   22.796752865
    1.561561562   27.977092776   21.498480229   19.978957935
    1.576576577   26.077777605   18.895799612   17.224473892
    1.591591592   24.580066926   16.787127139   14.986559248
    1.606606607   23.703319183   15.407999865   13.500561017
    1.621621622   23.382631269   14.581937363   12.560344573
    1.636636637   23.224077507   13.789866585   11.616906542
    1.651651652   22.816570888   12.607177174   10.249109404
    1.666666667   22.078207289   11.106707854    8.576035385
    1.681681682   21.249616023    9.728392676    7.083786874
    1.696696697   20.491899454    8.711587247    6.018553086
    1.711711712   19.707728273    7.930314369    5.241857559
    1.726726727   18.797726680    7.190947885    4.541554102
    1.741741742   17.802434665    6.386862991    3.777200874
    1.756756757   16.750026307    5.387811067    2.778833208
    1.771771772   15.519773333    4.031728103    1.379546118
    1.786786787   14.035023884    2.346661054   -0.357853542
    1.801801802   12.440231195    0.612856609   -2.121963956
    1.816816817   10.788251689   -1.040104239   -3.774943981
    1.831831832    8.999520270   -2.702005546   -5.409579452
    1.846846847    7.095429104   -4.391872322   -7.049304260
    1.861861862    5.165393887   -6.018597252   -8.603067517
    1.876876877    3.358037780   -7.446756266   -9.938697771
    1.891891892    1.919938542   -8.476168660  -10.865027690
    1.906906907    1.016436310   -8.981664420  -11.269903037
    1.921921922    0.448826652   -9.175342255  -11.377997652
    1.936936937   -0.194717981   -9.475952993  -11.609380079
    1.951951952   -1.033623579  -10.006058669  -12.075524453
    1.966966967   -1.963397947  -10.609980212  -12.605856042
    1.981981982   -3.062148223  -11.266862839  -13.162645618
    1.996996997   -4.466563474  -12.006551287  -13.751623637
    2.012012012   -6.042444123  -12.688666958  -14.228471317
    2.027027027   -7.530133065  -13.199104921  -14.514347942
    2.042042042   -8.967966732  -13.659459956  -14.755133715
