# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   32.459893514   35.167824705   35.799415969
    0.015015015   32.443684026   35.149897808   35.781081502
    0.030030030   32.415677315   35.118918981   35.749397414
    0.045045045   32.381888301   35.081535830   35.711161525
    0.060060060   32.342446021   35.037886539   35.666514258
    0.075075075   32.297416907   34.988039466   35.615524502
    0.090090090   32.246875757   34.932071693   35.558269972
    0.105105105   32.190905597   34.870068965   35.494837146
    0.120120120   32.129597243   34.802125287   35.425320886
    0.135135135   32.063048828   34.728342494   35.349824009
    0.150150150   31.991365310   34.648829800   35.268456848
    0.165165165   31.914657956   34.563703320   35.181336777
    0.180180180   31.833043814   34.473085573   35.088587727
    0.195195195   31.746645168   34.377104978   34.990339682
    0.210210210   31.655589004   34.275895335   34.886728172
    0.225225225   31.560006458   34.169595303   34.777893748
    0.240240240   31.460032280   34.058347875   34.663981467
    0.255255255   31.355804302   33.942299859   34.545140368
    0.270270270   31.247462919   33.821601361   34.421522956
    0.285285285   31.135150587   33.696405274   34.293284697
    0.300300300   31.019011333   33.566866791   34.160583514
    0.315315315   30.899190289   33.433142912   34.023579305
    0.330330330   30.775833250   33.295391988   33.882433468
    0.345345345   30.649086252   33.153773266   33.737308452
    0.360360360   30.519095175   33.008446465   33.588367312
    0.375375375   30.386005376   32.859571369   33.435773303
    0.390390390   30.249961337   32.707307436   33.279689476
    0.405405405   30.111106355   32.551813444   33.120278313
    0.420420420   29.969582243   32.393247144   32.957701368
    0.435435435   29.825529067   32.231764945   32.792118945
    0.450450450   29.679084901   32.067521627   32.623689790
    0.465465465   29.530385614   31.900670063   32.452570812
    0.480480480   29.379564671   31.731360978   32.278916823
    0.495495495   29.226752967   31.559742725   32.102880302
    0.510510511   29.072078675   31.385961081   31.924611180
    0.525525526   28.915667118   31.210159068   31.744256650
    0.540540541   28.757640659   31.032476794   31.561960994
    0.555555556   28.598118611   30.853051309   31.377865432
    0.570570571   28.437217164   30.672016489   31.192107992
    0.585585586   28.275049322   30.489502930   31.004823391
    0.600600601   28.111724865   30.305637863   30.816142948
    0.615615616   27.947350316   30.120545082   30.626194496
    0.630630631   27.782028926   29.934344890   30.435102323
    0.645645646   27.615860664   29.747154059   30.242987123
    0.660660661   27.448942224   29.559085799   30.049965958
    0.675675676   27.281367039   29.370249745   29.856152239
    0.690690691   27.113225301   29.180751953   29.661655713
    0.705705706   26.944603993   28.990694901   29.466582464
    0.720720721   26.775586921   28.800177508   29.271034923
    0.735735736   26.606254762   28.609295157   29.075111889
    0.750750751   26.436685107   28.418139726   28.878908553
    0.765765766   26.266952515   28.226799626   28.682516539
    0.780780781   26.097128568   28.035359845   28.486023941
    0.795795796   25.927281932   27.843902000   28.289515375
    0.810810811   25.757478415   27.652504391   28.093072031
    0.825825826   25.587781037   27.461242060   27.896771729
    0.840840841   25.418250092   27.270186855   27.700688989
    0.855855856   25.248943216   27.079407498   27.504895089
    0.870870871   25.079915461   26.888969650   27.309458140
    0.885885886   24.911219357   26.698935985   27.114443155
    0.900900901   24.742904987   26.509366266   26.919912123
    0.915915916   24.575020057   26.320317413   26.725924089
    0.930930931   24.407609966   26.131843584   26.532535224
    0.945945946   24.240717873   25.943996251   26.339798910
    0.960960961   24.074384772   25.756824275   26.147765816
    0.975975976   23.908649559   25.570373986   25.956483976
    0.990990991   23.743549095   25.384689255   25.765998870
    1.006006006   23.579118284   25.199811577   25.576353502
    1.021021021   23.415390129   25.015780145   25.387588480
    1.036036036   23.252395804   24.832631924   25.199742094
    1.051051051   23.090164714   24.650401727   25.012850393
    1.066066066   22.928724560   24.469122290   24.826947261
    1.081081081   22.768101401   24.288824346   24.642064492
    1.096096096   22.608319712   24.109536690   24.458231869
    1.111111111   22.449402444   23.931286259   24.275477230
    1.126126126   22.291371083   23.754098193   24.093826546
    1.141141141   22.134245702   23.577995907   23.913303988
    1.156156156   21.978045019   23.403001155   23.733931996
    1.171171171   21.822786447   23.229134097   23.555731347
    1.186186186   21.668486148   23.056413358   23.378721221
    1.201201201   21.515159081   22.884856095   23.202919266
    1.216216216   21.362819054   22.714478051   23.028341656
    1.231231231   21.211478766   22.545293616   22.855003158
    1.246246246   21.061149856   22.377315884   22.682917185
    1.261261261   20.911842947   22.210556707   22.512095859
    1.276276276   20.763567687   22.045026749   22.342550062
    1.291291291   20.616332793   21.880735536   22.174289494
    1.306306306   20.470146089   21.717691507   22.007322720
    1.321321321   20.325014546   21.555902064   21.841657227
    1.336336336   20.180944318   21.395373616   21.677299469
    1.351351351   20.037940781   21.236111625   21.514254914
    1.366366366   19.896008564   21.078120653   21.352528095
    1.381381381   19.755151586   20.921404399   21.192122646
    1.396396396   19.615373086   20.765965744   21.033041351
    1.411411411   19.476675658   20.611806788   20.875286186
    1.426426426   19.339061276   20.458928891   20.718858352
    1.441441441   19.202531327   20.307332703   20.563758321
    1.456456456   19.067086638   20.157018209   20.409985866
    1.471471471   18.932727504   20.007984753   20.257540103
    1.486486486   18.799453711   19.860231077   20.106419520
    1.501501502   18.667264564   19.713755352   19.956622014
    1.516516517   18.536158910   19.568555204   19.808144918
    1.531531532   18.406135161   19.424627747   19.660985035
    1.546546547   18.277191317   19.281969610   19.515138666
    1.561561562   18.149324987   19.140576963   19.370601639
    1.576576577   18.022533407   19.000445543   19.227369335
    1.591591592   17.896813465   18.861570679   19.085436710
    1.606606607   17.772161716   18.723947316   18.944798329
    1.621621622   17.648574401   18.587570034   18.805448380
    1.636636637   17.526047466   18.452433077   18.667380703
    1.651651652   17.404576575   18.318530368   18.530588808
    1.666666667   17.284157132   18.185855529   18.395065900
    1.681681682   17.164784290   18.054401903   18.260804893
    1.696696697   17.046452972   17.924162571   18.127798435
    1.711711712   16.929157878   17.795130370   17.996038923
    1.726726727   16.812893507   17.667297907   17.865518521
    1.741741742   16.697654163   17.540657581   17.736229178
    1.756756757   16.583433971   17.415201589   17.608162640
    1.771771772   16.470226888   17.290921952   17.481310470
    1.786786787   16.358026713   17.167810518   17.355664062
    1.801801802   16.246827103   17.045858983   17.231214650
    1.816816817   16.136621578   16.925058901   17.107953327
    1.831831832   16.027403531   16.805401695   16.985871054
    1.846846847   15.919166242   16.686878670   16.864958674
    1.861861862   15.811902885   16.569481025   16.745206923
    1.876876877   15.705606535   16.453199860   16.626606438
    1.891891892   15.600270178   16.338026191   16.509147774
    1.906906907   15.495886720   16.223950953   16.392821407
    1.921921922   15.392448992   16.110965017   16.277617747
    1.936936937   15.289949759   15.999059192   16.163527146
    1.951951952   15.188381727   15.888224236   16.050539907
    1.966966967   15.087737550   15.778450863   15.938646292
    1.981981982   14.988009832   15.669729753   15.827836529
    1.996996997   14.889191142   15.562051555   15.718100818
    2.012012012   14.791274010   15.455406895   15.609429344
    2.027027027   14.694250939   15.349786385   15.501812273
    2.042042042   14.598114406   15.245180624   15.395239770
    2.057057057   14.502856870   15.141580211   15.289701995
    2.072072072   14.408470777   15.038975741   15.185189115
    2.087087087   14.314948560   14.937357818   15.081691305
    2.102102102   14.222282649   14.836717057   14.979198757
    2.117117117   14.130465470   14.737044086   14.877701681
    2.132132132   14.039489453   14.638329555   14.777190311
    2.147147147   13.949347033   14.540564138   14.677654909
    2.162162162   13.860030654   14.443738535   14.579085769
    2.177177177   13.771532773   14.347843477   14.481473221
    2.192192192   13.683845862   14.252869732   14.384807634
    2.207207207   13.596962412   14.158808102   14.289079419
    2.222222222   13.510874934   14.065649434   14.194279033
    2.237237237   13.425575965   13.973384616   14.100396979
    2.252252252   13.341058066   13.882004582   14.007423814
    2.267267267   13.257313828   13.791500315   13.915350147
    2.282282282   13.174335873   13.701862851   13.824166641
    2.297297297   13.092116854   13.613083275   13.733864019
    2.312312312   13.010649460   13.525152730   13.644433064
    2.327327327   12.929926418   13.438062417   13.555864619
    2.342342342   12.849940490   13.351803592   13.468149592
    2.357357357   12.770684482   13.266367573   13.381278955
    2.372372372   12.692151238   13.181745742   13.295243746
    2.387387387   12.614333645   13.097929540   13.210035072
    2.402402402   12.537224637   13.014910475   13.125644110
    2.417417417   12.460817190   12.932680120   13.042062104
    2.432432432   12.385104328   12.851230114   12.959280373
    2.447447447   12.310079123   12.770552163   12.877290304
    2.462462462   12.235734694   12.690638043   12.796083361
    2.477477477   12.162064210   12.611479599   12.715651080
    2.492492492   12.089060890   12.533068743   12.635985069
    2.507507508   12.016718004   12.455397459   12.557077015
    2.522522523   11.945028874   12.378457805   12.478918679
    2.537537538   11.873986873   12.302241905   12.401501896
    2.552552553   11.803585429   12.226741958   12.324818579
    2.567567568   11.733818019   12.151950234   12.248860718
    2.582582583   11.664678180   12.077859077   12.173620379
    2.597597598   11.596159496   12.004460902   12.099089703
    2.612612613   11.528255612   11.931748197   12.025260913
    2.627627628   11.460960223   11.859713523   11.952126303
    2.642642643   11.394267082   11.788349515   11.879678249
    2.657657658   11.328169995   11.717648878   11.807909202
    2.672672673   11.262662824   11.647604394   11.736811689
    2.687687688   11.197739489   11.578208915   11.666378317
    2.702702703   11.133393963   11.509455367   11.596601768
    2.717717718   11.069620275   11.441336747   11.527474799
    2.732732733   11.006412510   11.373846128   11.458990246
    2.747747748   10.943764810   11.306976651   11.391141019
    2.762762763   10.881671371   11.240721532   11.323920107
    2.777777778   10.820126446   11.175074058   11.257320570
    2.792792793   10.759124342   11.110027586   11.191335547
    2.807807808   10.698659425   11.045575547   11.125958250
    2.822822823   10.638726112   10.981711440   11.061181965
    2.837837838   10.579318878   10.918428837   10.997000053
    2.852852853   10.520432253   10.855721377   10.933405948
    2.867867868   10.462060820   10.793582772   10.870393158
    2.882882883   10.404199220   10.732006800   10.807955263
    2.897897898   10.346842144   10.670987311   10.746085914
    2.912912913   10.289984343   10.610518220   10.684778835
    2.927927928   10.233620615   10.550593514   10.624027821
    2.942942943   10.177745819   10.491207243   10.563826738
    2.957957958   10.122354861   10.432353526   10.504169520
    2.972972973   10.067442705   10.374026550   10.445050173
    2.987987988   10.013004364   10.316220565   10.386462771
    3.003003003    9.959034907   10.258929888   10.328401455
    3.018018018    9.905529452   10.202148900   10.270860437
    3.033033033    9.852483172   10.145872046   10.213833991
    3.048048048    9.799891287   10.090093837   10.157316464
    3.063063063    9.747749073   10.034808845   10.101302263
    3.078078078    9.696051854    9.980011704   10.045785865
    3.093093093    9.644795005    9.925697113    9.990761809
    3.108108108    9.593973951    9.871859830    9.936224698
    3.123123123    9.543584166    9.818494675    9.882169202
    3.138138138    9.493621173    9.765596527    9.828590049
    3.153153153    9.444080547    9.713160326    9.775482033
    3.168168168    9.394957906    9.661181071    9.722840008
    3.183183183    9.346248921    9.609653820    9.670658889
    3.198198198    9.297949307    9.558573687    9.618933652
    3.213213213    9.250054829    9.507935846    9.567659334
    3.228228228    9.202561297    9.457735527    9.516831027
    3.243243243    9.155464568    9.407968014    9.466443887
    3.258258258    9.108760544    9.358628651    9.416493124
    3.273273273    9.062445174    9.309712832    9.366974005
    3.288288288    9.016514451    9.261216010    9.317881858
    3.303303303    8.970964412    9.213133688    9.269212061
    3.318318318    8.925791141    9.165461426    9.220960053
    3.333333333    8.880990763    9.118194834    9.173121324
    3.348348348    8.836559448    9.071329575    9.125691419
    3.363363363    8.792493407    9.024861364    9.078665938
    3.378378378    8.748788896    8.978785966    9.032040533
    3.393393393    8.705442212    8.933099197    8.985810907
    3.408408408    8.662449693    8.887796924    8.939972818
    3.423423423    8.619807719    8.842875060    8.894522071
    3.438438438    8.577512711    8.798329570    8.849454525
    3.453453453    8.535561130    8.754156466    8.804766087
    3.468468468    8.493949477    8.710351807    8.760452714
    3.483483483    8.452674292    8.666911700    8.716510413
    3.498498498    8.411732156    8.623832298    8.672935236
    3.513513514    8.371119688    8.581109800    8.629723286
    3.528528529    8.330833542    8.538740450    8.586870710
    3.543543544    8.290870416    8.496720537    8.544373705
    3.558558559    8.251227040    8.455046395    8.502228511
    3.573573574    8.211900184    8.413714401    8.460431415
    3.588588589    8.172886655    8.372720977    8.418978747
    3.603603604    8.134183293    8.332062585    8.377866883
    3.618618619    8.095786978    8.291735730    8.337092243
    3.633633634    8.057694623    8.251736961    8.296651288
    3.648648649    8.019903176    8.212062866    8.256540523
    3.663663664    7.982409622    8.172710074    8.216756496
