# energy grid [eV]     JDOS [1/eV]
#
    0.000000000    0.000137863
    0.015015015    0.000138963
    0.030030030    0.000140088
    0.045045045    0.000141237
    0.060060060    0.000142412
    0.075075075    0.000143615
    0.090090090    0.000144845
    0.105105105    0.000146105
    0.120120120    0.000147396
    0.135135135    0.000148718
    0.150150150    0.000150074
    0.165165165    0.000151465
    0.180180180    0.000152893
    0.195195195    0.000154358
    0.210210210    0.000155864
    0.225225225    0.000157412
    0.240240240    0.000159005
    0.255255255    0.000160644
    0.270270270    0.000162333
    0.285285285    0.000164073
    0.300300300    0.000165868
    0.315315315    0.000167721
    0.330330330    0.000169636
    0.345345345    0.000171616
    0.360360360    0.000173666
    0.375375375    0.000175790
    0.390390390    0.000177992
    0.405405405    0.000180279
    0.420420420    0.000182657
    0.435435435    0.000185133
    0.450450450    0.000187713
    0.465465465    0.000190407
    0.480480480    0.000193223
    0.495495495    0.000196174
    0.510510511    0.000199270
    0.525525526    0.000202527
    0.540540541    0.000205959
    0.555555556    0.000209585
    0.570570571    0.000213427
    0.585585586    0.000217509
    0.600600601    0.000221860
    0.615615616    0.000226515
    0.630630631    0.000231512
    0.645645646    0.000236898
    0.660660661    0.000242727
    0.675675676    0.000249059
    0.690690691    0.000255960
    0.705705706    0.000263499
    0.720720721    0.000271740
    0.735735736    0.000280744
    0.750750751    0.000290564
    0.765765766    0.000301249
    0.780780781    0.000312845
    0.795795796    0.000325392
    0.810810811    0.000338922
    0.825825826    0.000353467
    0.840840841    0.000369078
    0.855855856    0.000385830
    0.870870871    0.000403810
    0.885885886    0.000423112
    0.900900901    0.000443866
    0.915915916    0.000466248
    0.930930931    0.000490430
    0.945945946    0.000516507
    0.960960961    0.000544475
    0.975975976    0.000574250
    0.990990991    0.000605652
    1.006006006    0.000638355
    1.021021021    0.000671864
    1.036036036    0.000705585
    1.051051051    0.000738933
    1.066066066    0.000771421
    1.081081081    0.000802703
    1.096096096    0.000832646
    1.111111111    0.000861406
    1.126126126    0.000889434
    1.141141141    0.000917371
    1.156156156    0.000945928
    1.171171171    0.000975800
    1.186186186    0.001007619
    1.201201201    0.001041856
    1.216216216    0.001078669
    1.231231231    0.001117793
    1.246246246    0.001158639
    1.261261261    0.001200596
    1.276276276    0.001243326
    1.291291291    0.001286805
    1.306306306    0.001331076
    1.321321321    0.001375941
    1.336336336    0.001420801
    1.351351351    0.001464699
    1.366366366    0.001506535
    1.381381381    0.001545411
    1.396396396    0.001580976
    1.411411411    0.001613540
    1.426426426    0.001643969
    1.441441441    0.001673510
    1.456456456    0.001703599
    1.471471471    0.001735502
    1.486486486    0.001769854
    1.501501502    0.001806433
    1.516516517    0.001844308
    1.531531532    0.001882172
    1.546546547    0.001918703
    1.561561562    0.001952920
    1.576576577    0.001984536
    1.591591592    0.002014162
    1.606606607    0.002043104
    1.621621622    0.002072787
    1.636636637    0.002104111
    1.651651652    0.002137164
    1.666666667    0.002171427
    1.681681682    0.002206240
    1.696696697    0.002241143
    1.711711712    0.002275926
    1.726726727    0.002310490
    1.741741742    0.002344718
    1.756756757    0.002378409
    1.771771772    0.002411257
    1.786786787    0.002442861
    1.801801802    0.002472781
    1.816816817    0.002500568
    1.831831832    0.002525759
    1.846846847    0.002547891
    1.861861862    0.002566648
    1.876876877    0.002582086
    1.891891892    0.002594849
    1.906906907    0.002606155
    1.921921922    0.002617485
    1.936936937    0.002630086
    1.951951952    0.002644647
    1.966966967    0.002661242
    1.981981982    0.002679477
    1.996996997    0.002698738
    2.012012012    0.002718451
    2.027027027    0.002738202
    2.042042042    0.002757666
    2.057057057    0.002776557
    2.072072072    0.002794706
    2.087087087    0.002812126
    2.102102102    0.002828892
    2.117117117    0.002844966
    2.132132132    0.002860154
    2.147147147    0.002874238
    2.162162162    0.002887179
    2.177177177    0.002899221
    2.192192192    0.002910845
    2.207207207    0.002922706
    2.222222222    0.002935704
    2.237237237    0.002951088
    2.252252252    0.002970318
    2.267267267    0.002994685
    2.282282282    0.003024898
    2.297297297    0.003060819
    2.312312312    0.003101409
    2.327327327    0.003144930
    2.342342342    0.003189391
    2.357357357    0.003232930
    2.372372372    0.003273947
    2.387387387    0.003311173
    2.402402402    0.003343926
    2.417417417    0.003372516
    2.432432432    0.003398473
    2.447447447    0.003424294
    2.462462462    0.003452736
    2.477477477    0.003485896
    2.492492492    0.003524517
    2.507507508    0.003567789
    2.522522523    0.003613777
    2.537537538    0.003660289
    2.552552553    0.003705706
    2.567567568    0.003749232
    2.582582583    0.003790518
    2.597597598    0.003829255
    2.612612613    0.003865230
    2.627627628    0.003898714
    2.642642643    0.003930557
    2.657657658    0.003961790
    2.672672673    0.003993192
    2.687687688    0.004025208
    2.702702703    0.004057976
    2.717717718    0.004091099
    2.732732733    0.004123403
    2.747747748    0.004153120
    2.762762763    0.004178573
    2.777777778    0.004198874
    2.792792793    0.004214216
    2.807807808    0.004225698
    2.822822823    0.004234954
    2.837837838    0.004243761
    2.852852853    0.004253563
    2.867867868    0.004265020
    2.882882883    0.004278010
    2.897897898    0.004292190
    2.912912913    0.004307726
    2.927927928    0.004325511
    2.942942943    0.004346624
    2.957957958    0.004371394
    2.972972973    0.004398795
    2.987987988    0.004426611
    3.003003003    0.004452253
    3.018018018    0.004473695
    3.033033033    0.004489995
    3.048048048    0.004501319
    3.063063063    0.004508732
    3.078078078    0.004513934
    3.093093093    0.004518797
    3.108108108    0.004524760
    3.123123123    0.004532485
    3.138138138    0.004542072
    3.153153153    0.004553628
    3.168168168    0.004567755
    3.183183183    0.004585777
    3.198198198    0.004609604
    3.213213213    0.004641125
    3.228228228    0.004681335
    3.243243243    0.004729749
    3.258258258    0.004784482
    3.273273273    0.004842890
    3.288288288    0.004902385
    3.303303303    0.004961123
    3.318318318    0.005018363
    3.333333333    0.005074523
    3.348348348    0.005130933
    3.363363363    0.005189348
    3.378378378    0.005251266
    3.393393393    0.005317145
    3.408408408    0.005385835
    3.423423423    0.005454492
    3.438438438    0.005519139
    3.453453453    0.005575696
    3.468468468    0.005621053
    3.483483483    0.005653636
    3.498498498    0.005673283
    3.513513514    0.005680721
    3.528528529    0.005677234
    3.543543544    0.005664845
    3.558558559    0.005646676
    3.573573574    0.005626792
    3.588588589    0.005609316
    3.603603604    0.005597256
    3.618618619    0.005591777
    3.633633634    0.005592301
    3.648648649    0.005597312
    3.663663664    0.005605413
    3.678678679    0.005616081
    3.693693694    0.005629703
    3.708708709    0.005647042
    3.723723724    0.005668626
    3.738738739    0.005694325
    3.753753754    0.005723257
    3.768768769    0.005754230
    3.783783784    0.005786604
    3.798798799    0.005820858
    3.813813814    0.005858214
    3.828828829    0.005899419
    3.843843844    0.005943635
    3.858858859    0.005988497
    3.873873874    0.006031410
    3.888888889    0.006070965
    3.903903904    0.006107361
    3.918918919    0.006141823
    3.933933934    0.006175678
    3.948948949    0.006209736
    3.963963964    0.006244148
    3.978978979    0.006278591
    3.993993994    0.006312535
    4.009009009    0.006345442
    4.024024024    0.006376881
    4.039039039    0.006406498
    4.054054054    0.006433884
    4.069069069    0.006458383
    4.084084084    0.006478957
    4.099099099    0.006494318
    4.114114114    0.006503377
    4.129129129    0.006505796
    4.144144144    0.006502288
    4.159159159    0.006494429
    4.174174174    0.006484102
    4.189189189    0.006472955
    4.204204204    0.006462216
    4.219219219    0.006452817
    4.234234234    0.006445541
    4.249249249    0.006440975
    4.264264264    0.006439317
    4.279279279    0.006440358
    4.294294294    0.006443662
    4.309309309    0.006448680
    4.324324324    0.006454599
    4.339339339    0.006460194
    4.354354354    0.006463989
    4.369369369    0.006464717
    4.384384384    0.006461892
    4.399399399    0.006456190
    4.414414414    0.006449410
    4.429429429    0.006443971
    4.444444444    0.006442204
    4.459459459    0.006445782
    4.474474474    0.006455531
    4.489489489    0.006471573
    4.504504505    0.006493584
    4.519519520    0.006520969
    4.534534535    0.006552836
    4.549549550    0.006587732
    4.564564565    0.006623379
    4.579579580    0.006656935
    4.594594595    0.006686007
    4.609609610    0.006709813
    4.624624625    0.006729699
    4.639639640    0.006748720
    4.654654655    0.006770512
    4.669669670    0.006797908
    4.684684685    0.006831863
    4.699699700    0.006871241
    4.714714715    0.006913424
    4.729729730    0.006955282
    4.744744745    0.006994132
    4.759759760    0.007028473
    4.774774775    0.007058281
    4.789789790    0.007084813
    4.804804805    0.007110027
    4.819819820    0.007135793
    4.834834835    0.007163058
    4.849849850    0.007191276
    4.864864865    0.007218470
    4.879879880    0.007242096
    4.894894895    0.007260289
    4.909909910    0.007272766
    4.924924925    0.007280871
    4.939939940    0.007286890
    4.954954955    0.007292978
    4.969969970    0.007300152
