# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.015015015    0.000350910    0.000350910    0.000076658
    0.030030030    0.000701943    0.000701943    0.000153331
    0.045045045    0.001053220    0.001053220    0.000230035
    0.060060060    0.001404864    0.001404865    0.000306786
    0.075075075    0.001756999    0.001757000    0.000383599
    0.090090090    0.002109747    0.002109749    0.000460490
    0.105105105    0.002463234    0.002463235    0.000537474
    0.120120120    0.002817583    0.002817585    0.000614568
    0.135135135    0.003172921    0.003172923    0.000691787
    0.150150150    0.003529375    0.003529377    0.000769147
    0.165165165    0.003887072    0.003887074    0.000846665
    0.180180180    0.004246143    0.004246145    0.000924355
    0.195195195    0.004606716    0.004606719    0.001002236
    0.210210210    0.004968926    0.004968929    0.001080322
    0.225225225    0.005332906    0.005332909    0.001158632
    0.240240240    0.005698792    0.005698796    0.001237181
    0.255255255    0.006066723    0.006066726    0.001315987
    0.270270270    0.006436838    0.006436841    0.001395067
    0.285285285    0.006809279    0.006809283    0.001474438
    0.300300300    0.007184194    0.007184197    0.001554119
    0.315315315    0.007561728    0.007561732    0.001634126
    0.330330330    0.007942033    0.007942037    0.001714479
    0.345345345    0.008325263    0.008325267    0.001795196
    0.360360360    0.008711575    0.008711580    0.001876295
    0.375375375    0.009101130    0.009101135    0.001957796
    0.390390390    0.009494092    0.009494097    0.002039719
    0.405405405    0.009890630    0.009890636    0.002122082
    0.420420420    0.010290917    0.010290922    0.002204907
    0.435435435    0.010695128    0.010695134    0.002288214
    0.450450450    0.011103446    0.011103452    0.002372024
    0.465465465    0.011516058    0.011516064    0.002456359
    0.480480480    0.011933156    0.011933162    0.002541241
    0.495495495    0.012354936    0.012354942    0.002626692
    0.510510511    0.012781603    0.012781609    0.002712736
    0.525525526    0.013213365    0.013213371    0.002799395
    0.540540541    0.013650439    0.013650445    0.002886695
    0.555555556    0.014093047    0.014093054    0.002974659
    0.570570571    0.014541420    0.014541427    0.003063314
    0.585585586    0.014995795    0.014995803    0.003152686
    0.600600601    0.015456419    0.015456427    0.003242802
    0.615615616    0.015923546    0.015923554    0.003333688
    0.630630631    0.016397439    0.016397448    0.003425375
    0.645645646    0.016878373    0.016878381    0.003517890
    0.660660661    0.017366629    0.017366637    0.003611264
    0.675675676    0.017862502    0.017862510    0.003705529
    0.690690691    0.018366297    0.018366305    0.003800716
    0.705705706    0.018878331    0.018878340    0.003896859
    0.720720721    0.019398935    0.019398944    0.003993991
    0.735735736    0.019928451    0.019928460    0.004092148
    0.750750751    0.020467237    0.020467247    0.004191367
    0.765765766    0.021015665    0.021015675    0.004291685
    0.780780781    0.021574125    0.021574135    0.004393142
    0.795795796    0.022143020    0.022143031    0.004495778
    0.810810811    0.022722775    0.022722786    0.004599635
    0.825825826    0.023313832    0.023313843    0.004704756
    0.840840841    0.023916654    0.023916665    0.004811188
    0.855855856    0.024531724    0.024531735    0.004918977
    0.870870871    0.025159549    0.025159561    0.005028171
    0.885885886    0.025800662    0.025800673    0.005138823
    0.900900901    0.026455618    0.026455630    0.005250984
    0.915915916    0.027125005    0.027125017    0.005364710
    0.930930931    0.027809435    0.027809448    0.005480058
    0.945945946    0.028509556    0.028509569    0.005597089
    0.960960961    0.029226048    0.029226061    0.005715864
    0.975975976    0.029959626    0.029959639    0.005836449
    0.990990991    0.030711045    0.030711059    0.005958912
    1.006006006    0.031481102    0.031481116    0.006083325
    1.021021021    0.032270637    0.032270651    0.006209763
    1.036036036    0.033080539    0.033080554    0.006338302
    1.051051051    0.033911748    0.033911763    0.006469027
    1.066066066    0.034765259    0.034765274    0.006602022
    1.081081081    0.035642126    0.035642142    0.006737378
    1.096096096    0.036543469    0.036543485    0.006875190
    1.111111111    0.037470476    0.037470492    0.007015558
    1.126126126    0.038424410    0.038424427    0.007158586
    1.141141141    0.039406616    0.039406634    0.007304386
    1.156156156    0.040418528    0.040418546    0.007453075
    1.171171171    0.041461674    0.041461693    0.007604774
    1.186186186    0.042537687    0.042537707    0.007759616
    1.201201201    0.043648313    0.043648334    0.007917736
    1.216216216    0.044795424    0.044795445    0.008079281
    1.231231231    0.045981023    0.045981046    0.008244405
    1.246246246    0.047207267    0.047207291    0.008413272
    1.261261261    0.048476470    0.048476495    0.008586054
    1.276276276    0.049791128    0.049791155    0.008762938
    1.291291291    0.051153932    0.051153961    0.008944118
    1.306306306    0.052567792    0.052567823    0.009129805
    1.321321321    0.054035856    0.054035890    0.009320221
    1.336336336    0.055561538    0.055561576    0.009515604
    1.351351351    0.057148550    0.057148591    0.009716210
    1.366366366    0.058800929    0.058800975    0.009922310
    1.381381381    0.060523084    0.060523135    0.010134197
    1.396396396    0.062319833    0.062319890    0.010352185
    1.411411411    0.064196455    0.064196520    0.010576610
    1.426426426    0.066158751    0.066158826    0.010807837
    1.441441441    0.068213110    0.068213197    0.011046257
    1.456456456    0.070366589    0.070366690    0.011292292
    1.471471471    0.072627000    0.072627118    0.011546402
    1.486486486    0.075003024    0.075003165    0.011809081
    1.501501502    0.077504337    0.077504505    0.012080869
    1.516516517    0.080141755    0.080141958    0.012362353
    1.531531532    0.082927422    0.082927668    0.012654173
    1.546546547    0.085875018    0.085875320    0.012957027
    1.561561562    0.089000021    0.089000396    0.013271681
    1.576576577    0.092320024    0.092320491    0.013598975
    1.591591592    0.095855112    0.095855700    0.013939836
    1.606606607    0.099628341    0.099629087    0.014295284
    1.621621622    0.103666320    0.103667275    0.014666449
