# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000    3.342479751    3.342492117    2.106748968
    0.015015015    3.342532370    3.342544737    2.106760469
    0.030030030    3.342690248    3.342702614    2.106794975
    0.045045045    3.342953438    3.342965805    2.106852494
    0.060060060    3.343322033    3.343334400    2.106933036
    0.075075075    3.343796160    3.343808527    2.107036618
    0.090090090    3.344375985    3.344388353    2.107163261
    0.105105105    3.345061710    3.345074078    2.107312990
    0.120120120    3.345853574    3.345865942    2.107485836
    0.135135135    3.346751855    3.346764223    2.107681834
    0.150150150    3.347756866    3.347769235    2.107901025
    0.165165165    3.348868961    3.348881330    2.108143451
    0.180180180    3.350088531    3.350100901    2.108409164
    0.195195195    3.351416006    3.351428377    2.108698217
    0.210210210    3.352851856    3.352864228    2.109010670
    0.225225225    3.354396590    3.354408963    2.109346587
    0.240240240    3.356050758    3.356063132    2.109706036
    0.255255255    3.357814951    3.357827325    2.110089094
    0.270270270    3.359689800    3.359702176    2.110495838
    0.285285285    3.361675981    3.361688358    2.110926354
    0.300300300    3.363774212    3.363786589    2.111380731
    0.315315315    3.365985253    3.365997631    2.111859065
    0.330330330    3.368309910    3.368322290    2.112361456
    0.345345345    3.370749036    3.370761417    2.112888010
    0.360360360    3.373303528    3.373315911    2.113438840
    0.375375375    3.375974332    3.375986716    2.114014062
    0.390390390    3.378762442    3.378774828    2.114613799
    0.405405405    3.381668902    3.381681289    2.115238182
    0.420420420    3.384694807    3.384707195    2.115887344
    0.435435435    3.387841303    3.387853693    2.116561428
    0.450450450    3.391109591    3.391121983    2.117260580
    0.465465465    3.394500928    3.394513322    2.117984954
    0.480480480    3.398016624    3.398029020    2.118734710
    0.495495495    3.401658050    3.401670448    2.119510017
    0.510510511    3.405426636    3.405439036    2.120311047
    0.525525526    3.409323874    3.409336276    2.121137981
    0.540540541    3.413351318    3.413363722    2.121991007
    0.555555556    3.417510590    3.417522995    2.122870320
