# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000    3.340170279    3.340182983    2.104545498
    0.015015015    3.339877172    3.339889877    2.104481459
    0.030030030    3.339369905    3.339382609    2.104370610
    0.045045045    3.338756420    3.338769124    2.104236518
    0.060060060    3.338038229    3.338050933    2.104079491
    0.075075075    3.337215587    3.337228290    2.103899564
    0.090090090    3.336288778    3.336301481    2.103696773
    0.105105105    3.335258123    3.335270825    2.103471158
    0.120120120    3.334123976    3.334136678    2.103222764
    0.135135135    3.332886730    3.332899430    2.102951642
    0.150150150    3.331546807    3.331559507    2.102657845
    0.165165165    3.330104667    3.330117366    2.102341433
    0.180180180    3.328560802    3.328573500    2.102002467
    0.195195195    3.326915737    3.326928434    2.101641016
    0.210210210    3.325170029    3.325182726    2.101257151
    0.225225225    3.323324269    3.323336964    2.100850948
    0.240240240    3.321379077    3.321391771    2.100422486
    0.255255255    3.319335105    3.319347798    2.099971849
    0.270270270    3.317193035    3.317205727    2.099499126
    0.285285285    3.314953578    3.314966269    2.099004408
    0.300300300    3.312617474    3.312630164    2.098487792
    0.315315315    3.310185492    3.310198180    2.097949376
    0.330330330    3.307658427    3.307671114    2.097389264
    0.345345345    3.305037102    3.305049787    2.096807563
    0.360360360    3.302322364    3.302335048    2.096204384
    0.375375375    3.299515087    3.299527769    2.095579842
    0.390390390    3.296616170    3.296628850    2.094934053
    0.405405405    3.293626532    3.293639211    2.094267139
    0.420420420    3.290547118    3.290559795    2.093579224
    0.435435435    3.287378894    3.287391569    2.092870436
    0.450450450    3.284122847    3.284135520    2.092140905
    0.465465465    3.280779983    3.280792655    2.091390765
    0.480480480    3.277351331    3.277364000    2.090620153
    0.495495495    3.273837933    3.273850600    2.089829208
    0.510510511    3.270240854    3.270253519    2.089018073
    0.525525526    3.266561174    3.266573836    2.088186892
    0.540540541    3.262799986    3.262812647    2.087335813
    0.555555556    3.258958403    3.258971062    2.086464987
    0.570570571    3.255037549    3.255050205    2.085574565
    0.585585586    3.251038563    3.251051217    2.084664703
    0.600600601    3.246962595    3.246975246    2.083735557
    0.615615616    3.242810808    3.242823457    2.082787288
    0.630630631    3.238584375    3.238597021    2.081820055
    0.645645646    3.234284480    3.234297123    2.080834023
    0.660660661    3.229912315    3.229924956    2.079829357
    0.675675676    3.225469081    3.225481719    2.078806223
    0.690690691    3.220955987    3.220968622    2.077764791
    0.705705706    3.216374248    3.216386880    2.076705231
    0.720720721    3.211725084    3.211737714    2.075627714
    0.735735736    3.207009723    3.207022350    2.074532414
    0.750750751    3.202229395    3.202242019    2.073419505
    0.765765766    3.197385334    3.197397955    2.072289164
    0.780780781    3.192478778    3.192491396    2.071141567
    0.795795796    3.187510967    3.187523581    2.069976894
    0.810810811    3.182483140    3.182495751    2.068795322
    0.825825826    3.177396541    3.177409148    2.067597033
    0.840840841    3.172252410    3.172265014    2.066382207
    0.855855856    3.167051989    3.167064590    2.065151027
    0.870870871    3.161796518    3.161809116    2.063903675
    0.885885886    3.156487236    3.156499830    2.062640335
    0.900900901    3.151125379    3.151137969    2.061361190
    0.915915916    3.145712178    3.145724765    2.060066424
    0.930930931    3.140248864    3.140261447    2.058756223
    0.945945946    3.134736660    3.134749240    2.057430772
    0.960960961    3.129176789    3.129189364    2.056090255
    0.975975976    3.123570463    3.123583035    2.054734860
    0.990990991    3.117918894    3.117931462    2.053364771
    1.006006006    3.112223284    3.112235847    2.051980175
    1.021021021    3.106484828    3.106497388    2.050581258
    1.036036036    3.100704717    3.100717273    2.049168206
    1.051051051    3.094884132    3.094896684    2.047741204
    1.066066066    3.089024247    3.089036795    2.046300439
    1.081081081    3.083126227    3.083138770    2.044846096
    1.096096096    3.077191227    3.077203767    2.043378360
    1.111111111    3.071220397    3.071232932    2.041897417
    1.126126126    3.065214872    3.065227403    2.040403451
    1.141141141    3.059175782    3.059188308    2.038896647
    1.156156156    3.053104244    3.053116765    2.037377189
    1.171171171    3.047001365    3.047013882    2.035845259
    1.186186186    3.040868242    3.040880754    2.034301041
    1.201201201    3.034705961    3.034718469    2.032744718
    1.216216216    3.028515596    3.028528099    2.031176470
    1.231231231    3.022298211    3.022310709    2.029596480
    1.246246246    3.016054856    3.016067349    2.028004927
    1.261261261    3.009786571    3.009799060    2.026401991
    1.276276276    3.003494384    3.003506868    2.024787851
    1.291291291    2.997179310    2.997191789    2.023162685
    1.306306306    2.990842351    2.990854826    2.021526670
    1.321321321    2.984484499    2.984496968    2.019879984
    1.336336336    2.978106730    2.978119194    2.018222801
    1.351351351    2.971710009    2.971722468    2.016555296
    1.366366366    2.965295288    2.965307742    2.014877643
    1.381381381    2.958863507    2.958875955    2.013190014
    1.396396396    2.952415591    2.952428034    2.011492581
    1.411411411    2.945952452    2.945964890    2.009785516
    1.426426426    2.939474990    2.939487423    2.008068987
    1.441441441    2.932984092    2.932996519    2.006343164
    1.456456456    2.926480630    2.926493052    2.004608214
    1.471471471    2.919965464    2.919977880    2.002864303
    1.486486486    2.913439440    2.913451851    2.001111597
    1.501501502    2.906903391    2.906915796    1.999350259
