# energy grid [eV]     JDOS [1/eV]
#
    0.000000000    0.000213310
    0.015015015    0.000214505
    0.030030030    0.000215713
    0.045045045    0.000216935
    0.060060060    0.000218171
    0.075075075    0.000219421
    0.090090090    0.000220685
    0.105105105    0.000221964
    0.120120120    0.000223258
    0.135135135    0.000224568
    0.150150150    0.000225892
    0.165165165    0.000227233
    0.180180180    0.000228590
    0.195195195    0.000229963
    0.210210210    0.000231353
    0.225225225    0.000232760
    0.240240240    0.000234184
    0.255255255    0.000235626
    0.270270270    0.000237086
    0.285285285    0.000238565
    0.300300300    0.000240063
    0.315315315    0.000241580
    0.330330330    0.000243116
    0.345345345    0.000244673
    0.360360360    0.000246250
    0.375375375    0.000247848
    0.390390390    0.000249467
    0.405405405    0.000251109
    0.420420420    0.000252772
    0.435435435    0.000254459
    0.450450450    0.000256168
    0.465465465    0.000257902
    0.480480480    0.000259660
    0.495495495    0.000261443
    0.510510511    0.000263251
    0.525525526    0.000265086
    0.540540541    0.000266947
    0.555555556    0.000268836
    0.570570571    0.000270753
    0.585585586    0.000272699
    0.600600601    0.000274674
    0.615615616    0.000276679
    0.630630631    0.000278715
    0.645645646    0.000280783
    0.660660661    0.000282884
    0.675675676    0.000285018
    0.690690691    0.000287186
    0.705705706    0.000289389
    0.720720721    0.000291629
    0.735735736    0.000293905
    0.750750751    0.000296220
    0.765765766    0.000298574
    0.780780781    0.000300968
    0.795795796    0.000303403
    0.810810811    0.000305881
    0.825825826    0.000308403
    0.840840841    0.000310971
    0.855855856    0.000313584
    0.870870871    0.000316246
    0.885885886    0.000318957
    0.900900901    0.000321718
    0.915915916    0.000324533
    0.930930931    0.000327401
    0.945945946    0.000330325
    0.960960961    0.000333307
    0.975975976    0.000336349
    0.990990991    0.000339452
    1.006006006    0.000342619
    1.021021021    0.000345852
    1.036036036    0.000349153
    1.051051051    0.000352525
    1.066066066    0.000355970
    1.081081081    0.000359491
    1.096096096    0.000363091
    1.111111111    0.000366772
    1.126126126    0.000370539
    1.141141141    0.000374393
    1.156156156    0.000378339
    1.171171171    0.000382381
    1.186186186    0.000386522
    1.201201201    0.000390766
    1.216216216    0.000395118
    1.231231231    0.000399583
    1.246246246    0.000404165
    1.261261261    0.000408870
    1.276276276    0.000413704
    1.291291291    0.000418671
    1.306306306    0.000423780
    1.321321321    0.000429036
    1.336336336    0.000434447
    1.351351351    0.000440021
    1.366366366    0.000445766
    1.381381381    0.000451692
