# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.015015015    0.006767299    0.005267951    0.000271122
    0.030030030    0.013544557    0.010543225    0.000542362
    0.045045045    0.020341779    0.015833177    0.000813838
    0.060060060    0.027169056    0.021145228    0.001085667
    0.075075075    0.034036616    0.026486902    0.001357970
    0.090090090    0.040954864    0.031865853    0.001630864
    0.105105105    0.047934437    0.037289913    0.001904472
    0.120120120    0.054986250    0.042767117    0.002178915
    0.135135135    0.062121552    0.048305756    0.002454317
    0.150150150    0.069351982    0.053914412    0.002730802
    0.165165165    0.076689629    0.059602006    0.003008498
    0.180180180    0.084147099    0.065377852    0.003287534
    0.195195195    0.091737585    0.071251707    0.003568041
    0.210210210    0.099474948    0.077233836    0.003850153
    0.225225225    0.107373795    0.083335076    0.004134008
    0.240240240    0.115449583    0.089566908    0.004419746
    0.255255255    0.123718714    0.095941548    0.004707510
    0.270270270    0.132198657    0.102472028    0.004997448
    0.285285285    0.140908076    0.109172311    0.005289712
    0.300300300    0.149866977    0.116057404    0.005584458
    0.315315315    0.159096870    0.123143494    0.005881848
    0.330330330    0.168620961    0.130448102    0.006182047
    0.345345345    0.178464358    0.137990263    0.006485227
    0.360360360    0.188654320    0.145790725    0.006791568
    0.375375375    0.199220533    0.153872193    0.007101253
    0.390390390    0.210195431    0.162259598    0.007414475
    0.405405405    0.221614570    0.170980426    0.007731434
    0.420420420    0.233517060    0.180065097    0.008052337
    0.435435435    0.245946070    0.189547414    0.008377403
    0.450450450    0.258949428    0.199465099    0.008706857
    0.465465465    0.272580313    0.209860436    0.009040937
    0.480480480    0.286898098    0.220781042    0.009379892
    0.495495495    0.301969340    0.232280797    0.009723982
    0.510510511    0.317868979    0.244420992    0.010073483
    0.525525526    0.334681778    0.257271723    0.010428683
    0.540540541    0.352504089    0.270913625    0.010789886
    0.555555556    0.371446008    0.285440036    0.011157414
    0.570570571    0.391634043    0.300959714    0.011531605
    0.585585586    0.413214437    0.317600292    0.011912822
    0.600600601    0.436357348    0.335512704    0.012301444
    0.615615616    0.461262156    0.354876919    0.012697878
    0.630630631    0.488164260    0.375909451    0.013102556
    0.645645646    0.517343904    0.398873312    0.013515939
    0.660660661    0.549137749    0.424091380    0.013938518
    0.675675676    0.583954253    0.451964583    0.014370822
    0.690690691    0.622294395    0.482997031    0.014813414
    0.705705706    0.664780027    0.517831285    0.015266904
    0.720720721    0.712193266    0.557298699    0.015731945
    0.735735736    0.765532205    0.602492607    0.016209245
    0.750750751    0.826091134    0.654876711    0.016699569
    0.765765766    0.895578302    0.716448722    0.017203748
    0.780780781    0.976292153    0.789991965    0.017722685
    0.795795796    1.071389924    0.879467996    0.018257366
    0.810810811    1.185302742    0.990632970    0.018808870
    0.825825826    1.324378993    1.131989959    0.019378382
    0.840840841    1.497856773    1.316154879    0.019967207
    0.855855856    1.719191499    1.561334228    0.020576788
    0.870870871    2.007276068    1.890921279    0.021208724
    0.885885886    2.385437370    2.324275980    0.021864802
    0.900900901    2.873819841    2.847856825    0.022547017
    0.915915916    3.476791658    3.390171831    0.023257615
    0.930930931    4.175540889    3.878644300    0.023999134
    0.945945946    4.895506120    4.279045316    0.024774459
    0.960960961    5.484675360    4.521942906    0.025586887
    0.975975976    5.797501577    4.540580834    0.026440214
    0.990990991    5.798853801    4.324625930    0.027338838
    1.006006006    5.685911448    3.994235888    0.028287892
    1.021021021    5.727973395    3.746291121    0.029293424
    1.036036036    6.003079226    3.674153896    0.030362615
    1.051051051    6.405340999    3.747317642    0.031504087
    1.066066066    6.827898665    3.888678843    0.032728294
    1.081081081    7.270273977    4.033496096    0.034048076
    1.096096096    7.837030781    4.192646686    0.035479404
    1.111111111    8.627180335    4.427852364    0.037042438
    1.126126126    9.538380690    4.717390815    0.038763035
    1.141141141   10.366132717    4.971792270    0.040674941
    1.156156156   11.018205865    5.146936091    0.042823061
    1.171171171   11.491764818    5.270118520    0.045268395
    1.186186186   11.782066604    5.390991594    0.048095664
    1.201201201   11.995965886    5.584708057    0.051425217
    1.216216216   12.357102537    5.948553152    0.055431630
    1.231231231   12.903705823    6.516326781    0.060371832
    1.246246246   13.507026329    7.232709817    0.066622667
    1.261261261   14.174729150    7.960825660    0.074709679
    1.276276276   15.011088013    8.562849462    0.085241948
    1.291291291   15.902880513    9.041292246    0.098526891
    1.306306306   16.607609739    9.420321054    0.113736307
    1.321321321   17.109640569    9.658770638    0.128577845
    1.336336336   17.507330695    9.783922357    0.140593945
    1.351351351   17.945286147    9.985115904    0.148736783
    1.366366366   18.626389044   10.451824204    0.153519416
    1.381381381   19.663873254   11.276611967    0.155688435
    1.396396396   21.016552068   12.448610240    0.157503518
    1.411411411   22.577930135   13.820179186    0.162812578
    1.426426426   24.153858307   15.140774260    0.173028532
