# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000   11.857572609   10.500828755    3.310093673
    0.015015015   11.858583054   10.501615573    3.310134315
    0.030030030   11.861615858   10.503977106    3.310256259
    0.045045045   11.866675439   10.507916602    3.310459558
    0.060060060   11.873769180   10.513439487    3.310744300
    0.075075075   11.882907463   10.520553394    3.311110607
    0.090090090   11.894103714   10.529268192    3.311558639
    0.105105105   11.907374460   10.539596034    3.312088591
    0.120120120   11.922739408   10.551551410    3.312700693
    0.135135135   11.940221526   10.565151213    3.313395213
    0.150150150   11.959847155   10.580414819    3.314172457
    0.165165165   11.981646124   10.597364177    3.315032765
    0.180180180   12.005651893   10.616023911    3.315976518
    0.195195195   12.031901710   10.636421447    3.317004136
    0.210210210   12.060436792   10.658587140    3.318116077
    0.225225225   12.091302527   10.682554435    3.319312840
    0.240240240   12.124548705   10.708360038    3.320594967
    0.255255255   12.160229774   10.736044114    3.321963039
    0.270270270   12.198405124   10.765650502    3.323417684
    0.285285285   12.239139413   10.797226969    3.324959571
    0.300300300   12.282502929   10.830825486    3.326589417
    0.315315315   12.328571990   10.866502540    3.328307987
    0.330330330   12.377429397   10.904319490    3.330116092
    0.345345345   12.429164947   10.944342963    3.332014596
    0.360360360   12.483875998   10.986645307    3.334004413
    0.375375375   12.541668111   11.031305095    3.336086512
    0.390390390   12.602655779   11.078407708    3.338261918
    0.405405405   12.666963234   11.128045990    3.340531714
    0.420420420   12.734725380   11.180320999    3.342897043
    0.435435435   12.806088838   11.235342864    3.345359112
    0.450450450   12.881213143   11.293231770    3.347919193
    0.465465465   12.960272105   11.354119094    3.350578627
    0.480480480   13.043455373   11.418148716    3.353338828
    0.495495495   13.130970230   11.485478548    3.356201284
    0.510510511   13.223043668   11.556282304    3.359167562
    0.525525526   13.319924786   11.630751593    3.362239314
    0.540540541   13.421887587   11.709098362    3.365418278
    0.555555556   13.529234240   11.791557801    3.368706285
    0.570570571   13.642298919   11.878391792    3.372105262
    0.585585586   13.761452320   11.969893025    3.375617243
    0.600600601   13.887107032   12.066389949    3.379244366
    0.615615616   14.019723923   12.168252750    3.382988888
    0.630630631   14.159819805   12.275900597    3.386853190
    0.645645646   14.307976644   12.389810476    3.390839780
    0.660660661   14.464852711   12.510527987    3.394951310
    0.675675676   14.631196113   12.638680569    3.399190578
    0.690690691   14.807861253   12.774993670    3.403560543
    0.705705706   14.995828855   12.920310404    3.408064336
    0.720720721   15.196230240   13.075615070    3.412705269
    0.735735736   15.410376361   13.242060371    3.417486856
    0.750750751   15.639791640   13.420996626    3.422412821
    0.765765766   15.886251071   13.613997503    3.427487121
    0.780780781   16.151815169   13.822867620    3.432713963
    0.795795796   16.438847906   14.049595571    3.438097827
    0.810810811   16.749980006   14.296163700    3.443643487
    0.825825826   17.087925756   14.564001616    3.449356046
    0.840840841   17.454934502   14.852581807    3.455240956
    0.855855856   17.851380724   15.156056119    3.461304066
    0.870870871   18.272527157   15.456050590    3.467551650
    0.885885886   18.702436957   15.710369547    3.473990462
    0.900900901   19.107275667   15.851743413    3.480627784
    0.915915916   19.436548605   15.832733969    3.487471490
    0.930930931   19.625534328   15.672232276    3.494530112
    0.945945946   19.598635519   15.387737867    3.501812930
    0.960960961   19.346322021   14.997553736    3.509330058
    0.975975976   18.985308802   14.587097828    3.517092567
    0.990990991   18.748517506   14.296467858    3.525112615
    1.006006006   18.837496126   14.267815183    3.533403608
    1.021021021   19.192760321   14.488444230    3.541980387
    1.036036036   19.600279478   14.819546734    3.550859467
    1.051051051   19.929594810   15.140200635    3.560059305
    1.066066066   20.209550931   15.404833075    3.569600647
    1.081081081   20.523124229   15.639326259    3.579506929
    1.096096096   20.900195490   15.902257784    3.589804778
    1.111111111   21.207273082   16.172660523    3.600524608
    1.126126126   21.262627566   16.372027097    3.611701325
    1.141141141   21.069855250   16.496814645    3.623375129
    1.156156156   20.757060646   16.621366152    3.635592341
    1.171171171   20.422439190   16.815505877    3.648406047
    1.186186186   20.166555699   17.115184943    3.661876046
    1.201201201   20.133523804   17.539901911    3.676066773
    1.216216216   20.287316964   18.039482697    3.691040049
    1.231231231   20.423403899   18.493615495    3.706835095
    1.246246246   20.492657960   18.784797904    3.723418383
    1.261261261   20.573715702   18.853205009    3.740567780
    1.276276276   20.585150073   18.779896065    3.757645659
    1.291291291   20.344460829   18.682439272    3.773333386
    1.306306306   19.927859426   18.584240408    3.785867464
    1.321321321   19.555045900   18.535260686    3.794361668
    1.336336336   19.340324424   18.684797954    3.799870617
    1.351351351   19.357587954   19.117764976    3.804768041
    1.366366366   19.554288537   19.744839024    3.811074995
    1.381381381   19.734336498   20.394176930    3.820423557
    1.396396396   19.694897806   20.860690298    3.834688669
    1.411411411   19.290530310   20.963570012    3.853003806
    1.426426426   18.418448895   20.677881247    3.871424930
    1.441441441   17.134025942   20.153203053    3.886914915
    1.456456456   15.565435630   19.514261237    3.900542035
    1.471471471   13.832146632   18.858400389    3.915500116
    1.486486486   12.071059957   18.354363973    3.932069068
    1.501501502   10.603249502   18.185259060    3.947384455
    1.516516517    9.733067494   18.350289486    3.958556089
    1.531531532    9.301519085   18.577152477    3.965518522
    1.546546547    8.827215741   18.568445202    3.971754466
    1.561561562    7.975386417   18.232876766    3.982380391
    1.576576577    6.841295208   17.650630395    4.000619254
    1.591591592    5.786750236   16.920526098    4.024711738
    1.606606607    4.973527353   15.972457450    4.048992154
    1.621621622    4.186569976   14.618408313    4.069720944
    1.636636637    3.121201975   12.775763256    4.088807010
    1.651651652    1.568901017   10.309355331    4.109922552
    1.666666667   -0.557289151    7.117949292    4.131594354
    1.681681682   -3.004685936    3.582820713    4.149528827
    1.696696697   -5.313239636    0.217663733    4.164028023
    1.711711712   -7.155828638   -2.709958028    4.178744047
    1.726726727   -8.400780903   -5.011030456    4.195532914
    1.741741742   -9.045735243   -6.512363436    4.213350884
    1.756756757   -9.225672047   -7.298278552    4.230090116
    1.771771772   -9.142473323   -7.645653007    4.246200624
    1.786786787   -8.930656950   -7.772162477    4.262068184
    1.801801802   -8.729087585   -7.914945451    4.273454720
    1.816816817   -8.605181235   -8.172373969    4.277204220
    1.831831832   -8.490872316   -8.341095833    4.278098309
    1.846846847   -8.341166123   -8.246572714    4.282386267
    1.861861862   -8.214335404   -8.009524539    4.290255822
    1.876876877   -8.215773151   -7.867214905    4.300682944
    1.891891892   -8.365335298   -7.890371438    4.314973003
    1.906906907   -8.544608001   -7.949459247    4.332753877
    1.921921922   -8.630640791   -7.926307522    4.351239804
    1.936936937   -8.643084337   -7.864750054    4.367901835
    1.951951952   -8.629599626   -7.830878189    4.382060302
    1.966966967   -8.528646764   -7.771861416    4.392495618
    1.981981982   -8.259195337   -7.588934992    4.397714177
    1.996996997   -7.846307516   -7.275037984    4.401131356
    2.012012012   -7.375178388   -6.896432278    4.407989549
    2.027027027   -6.907477632   -6.496684394    4.420032824
    2.042042042   -6.506624563   -6.134996114    4.434912518
    2.057057057   -6.211206240   -5.881260726    4.448249102
    2.072072072   -5.978964974   -5.721006917    4.458664525
    2.087087087   -5.738947538   -5.588950513    4.471353216
    2.102102102   -5.441242835   -5.432051126    4.489958421
    2.117117117   -5.081611453   -5.225075900    4.503788031
    2.132132132   -4.723050575   -4.969942600    4.493560652
    2.147147147   -4.449104222   -4.691932643    4.451013978
    2.162162162   -4.274323478   -4.426193013    4.383043141
    2.177177177   -4.150038349   -4.183409056    4.292596590
    2.192192192   -4.061857178   -3.938846672    4.174293961
    2.207207207   -4.030656818   -3.675870825    4.026381234
    2.222222222   -4.051423403   -3.430812318    3.861507900
    2.237237237   -4.104629534   -3.260010399    3.708643729
    2.252252252   -4.202541158   -3.194085898    3.587817233
    2.267267267   -4.374066475   -3.240156287    3.496321320
    2.282282282   -4.609198646   -3.375738680    3.423270455
    2.297297297   -4.821955910   -3.522097076    3.360880071
    2.312312312   -4.910258680   -3.587208941    3.302392681
    2.327327327   -4.870492100   -3.530408488    3.240344465
    2.342342342   -4.759559808   -3.355979360    3.177439108
    2.357357357   -4.611353388   -3.104555602    3.132731532
    2.372372372   -4.417292976   -2.824466727    3.118368868
    2.387387387   -4.176195632   -2.564626973    3.123271417
    2.402402402   -3.937143511   -2.372496579    3.124031318
    2.417417417   -3.734720390   -2.240401141    3.106196040
    2.432432432   -3.570252782   -2.138028327    3.072648575
    2.447447447   -3.460384366   -2.075871085    3.034162299
    2.462462462   -3.430430757   -2.072414276    3.000775032
    2.477477477   -3.483922556   -2.110479942    2.978482013
    2.492492492   -3.612793782   -2.150509781    2.972344067
    2.507507508   -3.809149395   -2.190888665    2.978031348
    2.522522523   -4.046146289   -2.265496706    2.986067516
    2.537537538   -4.278544358   -2.402931672    2.997613912
    2.552552553   -4.467866591   -2.622323854    3.016678040
    2.567567568   -4.585802804   -2.904330800    3.039304159
    2.582582583   -4.613898078   -3.179021511    3.058613007
    2.597597598   -4.552404969   -3.377636661    3.072079438
    2.612612613   -4.432865163   -3.501125079    3.085217850
    2.627627628   -4.294031138   -3.585730643    3.103720542
    2.642642643   -4.149756067   -3.622266856    3.126309188
    2.657657658   -3.993166231   -3.582540426    3.150142865
    2.672672673   -3.819733252   -3.481072161    3.172386690
    2.687687688   -3.634307299   -3.358032869    3.188369503
    2.702702703   -3.441168098   -3.237917580    3.195658532
    2.717717718   -3.264117753   -3.137432485    3.195856608
    2.732732733   -3.151151533   -3.074703527    3.189491867
    2.747747748   -3.124806830   -3.037044825    3.178577337
    2.762762763   -3.151633662   -2.984625419    3.169809794
    2.777777778   -3.180303916   -2.893073892    3.160939017
    2.792792793   -3.184310172   -2.763014440    3.142748751
    2.807807808   -3.150324149   -2.611334125    3.117313450
    2.822822823   -3.074174581   -2.459324465    3.098039419
    2.837837838   -2.967728177   -2.324510533    3.095216042
    2.852852853   -2.860597472   -2.234442757    3.108704921
    2.867867868   -2.786709084   -2.212995906    3.132645712
    2.882882883   -2.745119759   -2.241725955    3.160577930
    2.897897898   -2.710985044   -2.291836942    3.186414246
    2.912912913   -2.677352765   -2.361293549    3.205853277
    2.927927928   -2.656045617   -2.446774704    3.219125097
    2.942942943   -2.650799730   -2.529470393    3.228443706
