# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   11.849878257   10.493788553    3.305127557
    0.015015015   11.844232338   10.489393155    3.304901117
    0.030030030   11.834474386   10.481795753    3.304509269
    0.045045045   11.822696617   10.472624416    3.304035445
    0.060060060   11.808941174   10.461911208    3.303480853
    0.075075075   11.793228017   10.449670801    3.302845735
    0.090090090   11.775579676   10.435919752    3.302130365
    0.105105105   11.756021251   10.420676500    3.301335048
    0.120120120   11.734580307   10.403961294    3.300460124
    0.135135135   11.711286762   10.385796107    3.299505962
    0.150150150   11.686172766   10.366204548    3.298472967
    0.165165165   11.659272572   10.345211766    3.297361573
    0.180180180   11.630622408   10.322844357    3.296172243
    0.195195195   11.600260336   10.299130261    3.294905472
    0.210210210   11.568226115   10.274098662    3.293561783
    0.225225225   11.534561055   10.247779879    3.292141726
    0.240240240   11.499307878   10.220205268    3.290645880
    0.255255255   11.462510568   10.191407115    3.289074849
    0.270270270   11.424214230   10.161418528    3.287429263
    0.285285285   11.384464946   10.130273341    3.285709777
    0.300300300   11.343309634   10.098006009    3.283917068
    0.315315315   11.300795911   10.064651508    3.282051838
    0.330330330   11.256971955   10.030245243    3.280114808
    0.345345345   11.211886377    9.994822951    3.278106722
    0.360360360   11.165588095    9.958420614    3.276028341
    0.375375375   11.118126207    9.921074372    3.273880448
    0.390390390   11.069549881    9.882820441    3.271663841
    0.405405405   11.019908239    9.843695037    3.269379336
    0.420420420   10.969250257    9.803734297    3.267027763
    0.435435435   10.917624659    9.762974216    3.264609969
    0.450450450   10.865079830    9.721450580    3.262126813
    0.465465465   10.811663725    9.679198901    3.259579168
    0.480480480   10.757423791    9.636254366    3.256967916
    0.495495495   10.702406888    9.592651783    3.254293952
    0.510510511   10.646659226    9.548425533    3.251558180
    0.525525526   10.590226296    9.503609525    3.248761513
    0.540540541   10.533152820    9.458237160    3.245904872
    0.555555556   10.475482692    9.412341289    3.242989184
    0.570570571   10.417258938    9.365954188    3.240015383
    0.585585586   10.358523673    9.319107521    3.236984408
    0.600600601   10.299318067    9.271832323    3.233897202
    0.615615616   10.239682313    9.224158973    3.230754711
    0.630630631   10.179655601    9.176117175    3.227557886
    0.645645646   10.119276098    9.127735944    3.224307677
    0.660660661   10.058580929    9.079043592    3.221005038
    0.675675676    9.997606164    9.030067716    3.217650920
    0.690690691    9.936386810    8.980835191    3.214246277
    0.705705706    9.874956800    8.931372163    3.210792062
    0.720720721    9.813348994    8.881704044    3.207289223
    0.735735736    9.751595178    8.831855514    3.203738709
    0.750750751    9.689726063    8.781850516    3.200141465
    0.765765766    9.627771297    8.731712258    3.196498434
    0.780780781    9.565759463    8.681463218    3.192810553
    0.795795796    9.503718096    8.631125148    3.189078756
    0.810810811    9.441673689    8.580719077    3.185303972
    0.825825826    9.379651711    8.530265320    3.181487123
    0.840840841    9.317676617    8.479783484    3.177629127
    0.855855856    9.255771866    8.429292479    3.173730896
    0.870870871    9.193959935    8.378810525    3.169793333
    0.885885886    9.132262344    8.328355163    3.165817336
    0.900900901    9.070699668    8.277943267    3.161803794
    0.915915916    9.009291559    8.227591056    3.157753591
    0.930930931    8.948056768    8.177314101    3.153667601
    0.945945946    8.887013166    8.127127345    3.149546689
    0.960960961    8.826177764    8.077045109    3.145391712
    0.975975976    8.765566735    8.027081112    3.141203519
    0.990990991    8.705195437    7.977248477    3.136982950
    1.006006006    8.645078435    7.927559751    3.132730834
    1.021021021    8.585229525    7.878026914    3.128447992
    1.036036036    8.525661754    7.828661398    3.124135236
    1.051051051    8.466387443    7.779474095    3.119793366
    1.066066066    8.407418212    7.730475377    3.115423174
    1.081081081    8.348764998    7.681675106    3.111025441
    1.096096096    8.290438083    7.633082650    3.106600938
    1.111111111    8.232447108    7.584706896    3.102150427
    1.126126126    8.174801102    7.536556264    3.097674658
    1.141141141    8.117508500    7.488638723    3.093174370
    1.156156156    8.060577164    7.440961800    3.088650295
    1.171171171    8.004014403    7.393532599    3.084103151
    1.186186186    7.947826997    7.346357811    3.079533647
    1.201201201    7.892021212    7.299443727    3.074942481
    1.216216216    7.836602821    7.252796254    3.070330342
    1.231231231    7.781577127    7.206420924    3.065697905
    1.246246246    7.726948976    7.160322910    3.061045840
    1.261261261    7.672722777    7.114507035    3.056374800
    1.276276276    7.618902523    7.068977787    3.051685433
    1.291291291    7.565491804    7.023739331    3.046978373
    1.306306306    7.512493824    6.978795516    3.042254247
    1.321321321    7.459911422    6.934149895    3.037513667
    1.336336336    7.407747083    6.889805726    3.032757240
    1.351351351    7.356002953    6.845765990    3.027985559
    1.366366366    7.304680861    6.802033401    3.023199208
    1.381381381    7.253782323    6.758610412    3.018398762
    1.396396396    7.203308567    6.715499230    3.013584784
    1.411411411    7.153260537    6.672701822    3.008757829
    1.426426426    7.103638913    6.630219930    3.003918442
    1.441441441    7.054444120    6.588055071    2.999067156
    1.456456456    7.005676341    6.546208557    2.994204498
    1.471471471    6.957335531    6.504681495    2.989330983
    1.486486486    6.909421426    6.463474801    2.984447117
    1.501501502    6.861933554    6.422589206    2.979553398
    1.516516517    6.814871248    6.382025264    2.974650313
    1.531531532    6.768233654    6.341783359    2.969738340
    1.546546547    6.722019742    6.301863717    2.964817951
    1.561561562    6.676228316    6.262266406    2.959889605
    1.576576577    6.630858020    6.222991350    2.954953755
    1.591591592    6.585907352    6.184038331    2.950010846
    1.606606607    6.541374668    6.145407000    2.945061311
    1.621621622    6.497258193    6.107096878    2.940105578
    1.636636637    6.453556027    6.069107368    2.935144065
    1.651651652    6.410266154    6.031437755    2.930177183
    1.666666667    6.367386447    5.994087218    2.925205334
    1.681681682    6.324914678    5.957054830    2.920228914
    1.696696697    6.282848521    5.920339568    2.915248308
    1.711711712    6.241185562    5.883940314    2.910263896
    1.726726727    6.199923303    5.847855863    2.905276049
    1.741741742    6.159059168    5.812084926    2.900285133
    1.756756757    6.118590508    5.776626137    2.895291503
    1.771771772    6.078514608    5.741478054    2.890295510
    1.786786787    6.038828692    5.706639167    2.885297497
    1.801801802    5.999529924    5.672107898    2.880297798
    1.816816817    5.960615420    5.637882610    2.875296745
    1.831831832    5.922082244    5.603961605    2.870294658
    1.846846847    5.883927419    5.570343133    2.865291853
    1.861861862    5.846147927    5.537025393    2.860288641
    1.876876877    5.808740716    5.504006535    2.855285323
    1.891891892    5.771702700    5.471284667    2.850282197
    1.906906907    5.735030765    5.438857855    2.845279554
    1.921921922    5.698721773    5.406724126    2.840277678
    1.936936937    5.662772563    5.374881472    2.835276847
    1.951951952    5.627179953    5.343327855    2.830277335
    1.966966967    5.591940749    5.312061204    2.825279408
    1.981981982    5.557051739    5.281079423    2.820283330
    1.996996997    5.522509705    5.250380389    2.815289355
    2.012012012    5.488311415    5.219961957    2.810297734
    2.027027027    5.454453637    5.189821964    2.805308713
    2.042042042    5.420933129    5.159958225    2.800322533
    2.057057057    5.387746652    5.130368540    2.795339428
    2.072072072    5.354890965    5.101050697    2.790359628
    2.087087087    5.322362829    5.072002467    2.785383360
    2.102102102    5.290159010    5.043221613    2.780410842
    2.117117117    5.258276277    5.014705889    2.775442292
    2.132132132    5.226711409    4.986453041    2.770477921
    2.147147147    5.195461193    4.958460808    2.765517934
    2.162162162    5.164522423    4.930726924    2.760562535
    2.177177177    5.133891909    4.903249123    2.755611920
    2.192192192    5.103566469    4.876025133    2.750666284
    2.207207207    5.073542937    4.849052684    2.745725816
    2.222222222    5.043818162    4.822329505    2.740790700
    2.237237237    5.014389008    4.795853327    2.735861118
    2.252252252    4.985252356    4.769621885    2.730937248
    2.267267267    4.956405104    4.743632915    2.726019262
    2.282282282    4.927844169    4.717884159    2.721107330
    2.297297297    4.899566487    4.692373365    2.716201617
    2.312312312    4.871569015    4.667098287    2.711302286
    2.327327327    4.843848728    4.642056686    2.706409495
    2.342342342    4.816402626    4.617246331    2.701523398
    2.357357357    4.789227727    4.592664998    2.696644149
    2.372372372    4.762321074    4.568310476    2.691771893
    2.387387387    4.735679732    4.544180560    2.686906776
    2.402402402    4.709300788    4.520273059    2.682048940
    2.417417417    4.683181355    4.496585789    2.677198523
    2.432432432    4.657318568    4.473116583    2.672355659
    2.447447447    4.631709588    4.449863281    2.667520481
    2.462462462    4.606351599    4.426823738    2.662693118
    2.477477477    4.581241811    4.403995823    2.657873695
    2.492492492    4.556377459    4.381377417    2.653062336
    2.507507508    4.531755802    4.358966414    2.648259161
    2.522522523    4.507374128    4.336760723    2.643464287
    2.537537538    4.483229747    4.314758269    2.638677829
    2.552552553    4.459319996    4.292956991    2.633899898
    2.567567568    4.435642239    4.271354840    2.629130605
    2.582582583    4.412193864    4.249949787    2.624370056
    2.597597598    4.388972288    4.228739815    2.619618355
    2.612612613    4.365974951    4.207722924    2.614875604
    2.627627628    4.343199321    4.186897131    2.610141901
    2.642642643    4.320642891    4.166260467    2.605417344
    2.657657658    4.298303181    4.145810982    2.600702027
    2.672672673    4.276177738    4.125546739    2.595996042
    2.687687688    4.254264132    4.105465820    2.591299479
    2.702702703    4.232559962    4.085566322    2.586612426
    2.717717718    4.211062853    4.065846362    2.581934967
    2.732732733    4.189770452    4.046304068    2.577267187
    2.747747748    4.168680437    4.026937591    2.572609165
    2.762762763    4.147790508    4.007745095    2.567960982
    2.777777778    4.127098391    3.988724763    2.563322714
    2.792792793    4.106601840    3.969874793    2.558694437
    2.807807808    4.086298632    3.951193401    2.554076222
    2.822822823    4.066186568    3.932678822    2.549468142
    2.837837838    4.046263478    3.914329304    2.544870265
    2.852852853    4.026527212    3.896143115    2.540282660
    2.867867868    4.006975650    3.878118540    2.535705390
    2.882882883    3.987606691    3.860253879    2.531138521
    2.897897898    3.968418263    3.842547450    2.526582114
    2.912912913    3.949408316    3.824997589    2.522036229
    2.927927928    3.930574824    3.807602646    2.517500924
    2.942942943    3.911915785    3.790360991    2.512976258
    2.957957958    3.893429220    3.773271009    2.508462284
    2.972972973    3.875113176    3.756331102    2.503959057
    2.987987988    3.856965720    3.739539687    2.499466628
    3.003003003    3.838984944    3.722895201    2.494985048
    3.018018018    3.821168962    3.706396094    2.490514366
    3.033033033    3.803515911    3.690040834    2.486054630
    3.048048048    3.786023950    3.673827906    2.481605885
    3.063063063    3.768691261    3.657755809    2.477168175
    3.078078078    3.751516046    3.641823059    2.472741544
    3.093093093    3.734496532    3.626028188    2.468326034
    3.108108108    3.717630964    3.610369745    2.463921685
    3.123123123    3.700917611    3.594846293    2.459528536
    3.138138138    3.684354763    3.579456411    2.455146624
    3.153153153    3.667940728    3.564198694    2.450775986
    3.168168168    3.651673838    3.549071752    2.446416657
    3.183183183    3.635552445    3.534074211    2.442068671
    3.198198198    3.619574918    3.519204711    2.437732059
    3.213213213    3.603739650    3.504461908    2.433406855
    3.228228228    3.588045052    3.489844472    2.429093087
    3.243243243    3.572489555    3.475351089    2.424790785
    3.258258258    3.557071609    3.460980458    2.420499976
